site,plot,treatment,sp,ID,plantings,age,flag,background,background_sp,background_density,density_level,survival,fungicide,focal,foc,bg,plotf
D2,1,water,Ev,A,1,adult,blue,none,none,0,none,1,0,Ev adult,a,none,D21w
D3,1,water,Ev,1,1,seedling,blue,none,none,0,none,1,0,Ev seedling,s,none,D31w
D3,1,water,Ev,2,1,seedling,blue,none,none,0,none,1,0,Ev seedling,s,none,D31w
D3,1,water,Ev,3,1,seedling,blue,none,none,0,none,1,0,Ev seedling,s,none,D31w
D3,1,water,Ev,A,1,adult,blue,none,none,0,none,1,0,Ev adult,a,none,D31w
D4,1,water,Ev,1,1,seedling,blue,none,none,0,none,1,0,Ev seedling,s,none,D41w
D4,1,water,Ev,2,1,seedling,blue,none,none,0,none,1,0,Ev seedling,s,none,D41w
D4,1,water,Ev,3,1,seedling,blue,none,none,0,none,1,0,Ev seedling,s,none,D41w
D1,2,water,Ev,1,1,seedling,blue,Mv,Mv,4,low,1,0,Ev seedling,s,m,D12w
D1,2,water,Ev,2,1,seedling,blue,Mv,Mv,4,low,1,0,Ev seedling,s,m,D12w
D1,2,water,Ev,3,1,seedling,blue,Mv,Mv,4,low,1,0,Ev seedling,s,m,D12w
D1,2,water,Ev,A,1,adult,blue,Mv,Mv,4,low,1,0,Ev adult,a,m,D12w
D2,2,water,Ev,1,1,seedling,blue,Mv,Mv,4,low,1,0,Ev seedling,s,m,D22w
D2,2,water,Ev,2,1,seedling,blue,Mv,Mv,4,low,1,0,Ev seedling,s,m,D22w
D2,2,water,Ev,3,1,seedling,blue,Mv,Mv,4,low,1,0,Ev seedling,s,m,D22w
D2,2,water,Ev,A,1,adult,blue,Mv,Mv,4,low,1,0,Ev adult,a,m,D22w
D3,2,water,Ev,1,1,seedling,blue,Mv,Mv,4,low,1,0,Ev seedling,s,m,D32w
D3,2,water,Ev,2,1,seedling,blue,Mv,Mv,4,low,1,0,Ev seedling,s,m,D32w
D3,2,water,Ev,3,1,seedling,blue,Mv,Mv,4,low,1,0,Ev seedling,s,m,D32w
D3,2,water,Ev,A,1,adult,blue,Mv,Mv,4,low,1,0,Ev adult,a,m,D32w
D4,2,water,Ev,1,1,seedling,blue,Mv,Mv,4,low,1,0,Ev seedling,s,m,D42w
D4,2,water,Ev,2,1,seedling,blue,Mv,Mv,4,low,1,0,Ev seedling,s,m,D42w
D4,2,water,Ev,A,1,adult,blue,Mv,Mv,4,low,1,0,Ev adult,a,m,D42w
D1,3,water,Ev,1,1,seedling,blue,Mv,Mv,16,medium,1,0,Ev seedling,s,m,D13w
D1,3,water,Ev,2,1,seedling,blue,Mv,Mv,16,medium,1,0,Ev seedling,s,m,D13w
D1,3,water,Ev,3,1,seedling,blue,Mv,Mv,16,medium,1,0,Ev seedling,s,m,D13w
D1,3,water,Ev,A,1,adult,blue,Mv,Mv,16,medium,1,0,Ev adult,a,m,D13w
D2,3,water,Ev,1,1,seedling,blue,Mv,Mv,16,medium,1,0,Ev seedling,s,m,D23w
D2,3,water,Ev,2,1,seedling,blue,Mv,Mv,16,medium,1,0,Ev seedling,s,m,D23w
D2,3,water,Ev,3,1,seedling,blue,Mv,Mv,16,medium,1,0,Ev seedling,s,m,D23w
D2,3,water,Ev,A,1,adult,blue,Mv,Mv,16,medium,1,0,Ev adult,a,m,D23w
D3,3,water,Ev,1,1,seedling,blue,Mv,Mv,16,medium,1,0,Ev seedling,s,m,D33w
D3,3,water,Ev,2,1,seedling,blue,Mv,Mv,16,medium,1,0,Ev seedling,s,m,D33w
D3,3,water,Ev,3,1,seedling,blue,Mv,Mv,16,medium,1,0,Ev seedling,s,m,D33w
D3,3,water,Ev,A,1,adult,blue,Mv,Mv,16,medium,1,0,Ev adult,a,m,D33w
D4,3,water,Ev,1,1,seedling,blue,Mv,Mv,16,medium,1,0,Ev seedling,s,m,D43w
D4,3,water,Ev,2,1,seedling,blue,Mv,Mv,16,medium,1,0,Ev seedling,s,m,D43w
D4,3,water,Ev,3,1,seedling,blue,Mv,Mv,16,medium,1,0,Ev seedling,s,m,D43w
D4,3,water,Ev,A,1,adult,blue,Mv,Mv,16,medium,1,0,Ev adult,a,m,D43w
D1,4,water,Ev,1,1,seedling,blue,Mv,Mv,64,high,1,0,Ev seedling,s,m,D14w
D1,4,water,Ev,2,1,seedling,blue,Mv,Mv,64,high,1,0,Ev seedling,s,m,D14w
D1,4,water,Ev,3,1,seedling,blue,Mv,Mv,64,high,1,0,Ev seedling,s,m,D14w
D1,4,water,Ev,A,1,adult,blue,Mv,Mv,64,high,1,0,Ev adult,a,m,D14w
D2,4,water,Ev,2,1,seedling,blue,Mv,Mv,64,high,1,0,Ev seedling,s,m,D24w
D2,4,water,Ev,A,1,adult,blue,Mv,Mv,64,high,1,0,Ev adult,a,m,D24w
D3,4,water,Ev,1,1,seedling,blue,Mv,Mv,64,high,1,0,Ev seedling,s,m,D34w
D3,4,water,Ev,2,1,seedling,blue,Mv,Mv,64,high,1,0,Ev seedling,s,m,D34w
D3,4,water,Ev,3,1,seedling,blue,Mv,Mv,64,high,1,0,Ev seedling,s,m,D34w
D3,4,water,Ev,A,1,adult,blue,Mv,Mv,64,high,1,0,Ev adult,a,m,D34w
D4,4,water,Ev,1,1,seedling,blue,Mv,Mv,64,high,1,0,Ev seedling,s,m,D44w
D4,4,water,Ev,2,1,seedling,blue,Mv,Mv,64,high,1,0,Ev seedling,s,m,D44w
D4,4,water,Ev,3,1,seedling,blue,Mv,Mv,64,high,1,0,Ev seedling,s,m,D44w
D1,5,water,Ev,1,1,seedling,blue,Ev seedling,Ev,4,low,1,0,Ev seedling,s,s,D15w
D1,5,water,Ev,2,1,seedling,blue,Ev seedling,Ev,4,low,1,0,Ev seedling,s,s,D15w
D1,5,water,Ev,3,1,seedling,blue,Ev seedling,Ev,4,low,1,0,Ev seedling,s,s,D15w
D1,5,water,Ev,A,1,adult,blue,Ev seedling,Ev,4,low,1,0,Ev adult,a,s,D15w
D2,5,water,Ev,1,1,seedling,blue,Ev seedling,Ev,4,low,1,0,Ev seedling,s,s,D25w
D2,5,water,Ev,2,1,seedling,blue,Ev seedling,Ev,4,low,1,0,Ev seedling,s,s,D25w
D2,5,water,Ev,3,1,seedling,blue,Ev seedling,Ev,4,low,1,0,Ev seedling,s,s,D25w
D2,5,water,Ev,A,1,adult,blue,Ev seedling,Ev,4,low,1,0,Ev adult,a,s,D25w
D3,5,water,Ev,1,1,seedling,blue,Ev seedling,Ev,4,low,1,0,Ev seedling,s,s,D35w
D3,5,water,Ev,2,1,seedling,blue,Ev seedling,Ev,4,low,1,0,Ev seedling,s,s,D35w
D3,5,water,Ev,3,1,seedling,blue,Ev seedling,Ev,4,low,1,0,Ev seedling,s,s,D35w
D3,5,water,Ev,A,1,adult,blue,Ev seedling,Ev,4,low,1,0,Ev adult,a,s,D35w
D4,5,water,Ev,2,1,seedling,blue,Ev seedling,Ev,4,low,1,0,Ev seedling,s,s,D45w
D4,5,water,Ev,3,1,seedling,blue,Ev seedling,Ev,4,low,1,0,Ev seedling,s,s,D45w
D4,5,water,Ev,A,1,adult,blue,Ev seedling,Ev,4,low,1,0,Ev adult,a,s,D45w
D1,6,water,Ev,1,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Ev seedling,s,s,D16w
D1,6,water,Ev,2,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Ev seedling,s,s,D16w
D1,6,water,Ev,3,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Ev seedling,s,s,D16w
D1,6,water,Ev,A,1,adult,blue,Ev seedling,Ev,8,medium,1,0,Ev adult,a,s,D16w
D2,6,water,Ev,1,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Ev seedling,s,s,D26w
D2,6,water,Ev,2,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Ev seedling,s,s,D26w
D2,6,water,Ev,3,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Ev seedling,s,s,D26w
D2,6,water,Ev,A,1,adult,blue,Ev seedling,Ev,8,medium,1,0,Ev adult,a,s,D26w
D3,6,water,Ev,1,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Ev seedling,s,s,D36w
D3,6,water,Ev,2,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Ev seedling,s,s,D36w
D3,6,water,Ev,3,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Ev seedling,s,s,D36w
D3,6,water,Ev,A,1,adult,blue,Ev seedling,Ev,8,medium,1,0,Ev adult,a,s,D36w
D4,6,water,Ev,1,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Ev seedling,s,s,D46w
D4,6,water,Ev,2,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Ev seedling,s,s,D46w
D4,6,water,Ev,3,1,seedling,blue,Ev seedling,Ev,8,medium,1,0,Ev seedling,s,s,D46w
D4,6,water,Ev,A,1,adult,blue,Ev seedling,Ev,8,medium,1,0,Ev adult,a,s,D46w
D1,7,water,Ev,1,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Ev seedling,s,s,D17w
D1,7,water,Ev,2,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Ev seedling,s,s,D17w
D1,7,water,Ev,3,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Ev seedling,s,s,D17w
D1,7,water,Ev,A,1,adult,blue,Ev seedling,Ev,16,high,1,0,Ev adult,a,s,D17w
D2,7,water,Ev,1,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Ev seedling,s,s,D27w
D2,7,water,Ev,2,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Ev seedling,s,s,D27w
D2,7,water,Ev,3,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Ev seedling,s,s,D27w
D2,7,water,Ev,A,1,adult,blue,Ev seedling,Ev,16,high,1,0,Ev adult,a,s,D27w
D3,7,water,Ev,1,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Ev seedling,s,s,D37w
D3,7,water,Ev,2,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Ev seedling,s,s,D37w
D3,7,water,Ev,3,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Ev seedling,s,s,D37w
D3,7,water,Ev,A,1,adult,blue,Ev seedling,Ev,16,high,1,0,Ev adult,a,s,D37w
D4,7,water,Ev,1,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Ev seedling,s,s,D47w
D4,7,water,Ev,2,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Ev seedling,s,s,D47w
D4,7,water,Ev,3,1,seedling,blue,Ev seedling,Ev,16,high,1,0,Ev seedling,s,s,D47w
D4,7,water,Ev,A,1,adult,blue,Ev seedling,Ev,16,high,1,0,Ev adult,a,s,D47w
D1,8,water,Ev,2,1,seedling,blue,Ev adult,Ev,2,low,1,0,Ev seedling,s,a,D18w
D1,8,water,Ev,3,1,seedling,blue,Ev adult,Ev,2,low,1,0,Ev seedling,s,a,D18w
D1,8,water,Ev,A,1,adult,blue,Ev adult,Ev,2,low,1,0,Ev adult,a,a,D18w
D2,8,water,Ev,1,1,seedling,blue,Ev adult,Ev,2,low,1,0,Ev seedling,s,a,D28w
D2,8,water,Ev,2,1,seedling,blue,Ev adult,Ev,2,low,1,0,Ev seedling,s,a,D28w
D2,8,water,Ev,3,1,seedling,blue,Ev adult,Ev,2,low,1,0,Ev seedling,s,a,D28w
D2,8,water,Ev,A,1,adult,blue,Ev adult,Ev,2,low,1,0,Ev adult,a,a,D28w
D3,8,water,Ev,1,1,seedling,blue,Ev adult,Ev,2,low,1,0,Ev seedling,s,a,D38w
D3,8,water,Ev,2,1,seedling,blue,Ev adult,Ev,2,low,1,0,Ev seedling,s,a,D38w
D3,8,water,Ev,3,1,seedling,blue,Ev adult,Ev,2,low,1,0,Ev seedling,s,a,D38w
D3,8,water,Ev,A,1,adult,blue,Ev adult,Ev,2,low,1,0,Ev adult,a,a,D38w
D4,8,water,Ev,1,1,seedling,blue,Ev adult,Ev,2,low,1,0,Ev seedling,s,a,D48w
D4,8,water,Ev,2,1,seedling,blue,Ev adult,Ev,2,low,1,0,Ev seedling,s,a,D48w
D4,8,water,Ev,3,1,seedling,blue,Ev adult,Ev,2,low,1,0,Ev seedling,s,a,D48w
D4,8,water,Ev,A,1,adult,blue,Ev adult,Ev,2,low,1,0,Ev adult,a,a,D48w
D1,9,water,Ev,1,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Ev seedling,s,a,D19w
D1,9,water,Ev,3,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Ev seedling,s,a,D19w
D1,9,water,Ev,A,1,adult,blue,Ev adult,Ev,4,medium,1,0,Ev adult,a,a,D19w
D2,9,water,Ev,1,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Ev seedling,s,a,D29w
D2,9,water,Ev,2,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Ev seedling,s,a,D29w
D2,9,water,Ev,3,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Ev seedling,s,a,D29w
D2,9,water,Ev,A,1,adult,blue,Ev adult,Ev,4,medium,1,0,Ev adult,a,a,D29w
D3,9,water,Ev,1,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Ev seedling,s,a,D39w
D3,9,water,Ev,2,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Ev seedling,s,a,D39w
D3,9,water,Ev,3,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Ev seedling,s,a,D39w
D3,9,water,Ev,A,1,adult,blue,Ev adult,Ev,4,medium,1,0,Ev adult,a,a,D39w
D4,9,water,Ev,3,1,seedling,blue,Ev adult,Ev,4,medium,1,0,Ev seedling,s,a,D49w
D4,9,water,Ev,A,1,adult,blue,Ev adult,Ev,4,medium,1,0,Ev adult,a,a,D49w
D1,10,water,Ev,1,1,seedling,blue,Ev adult,Ev,8,high,1,0,Ev seedling,s,a,D110w
D1,10,water,Ev,3,1,seedling,blue,Ev adult,Ev,8,high,1,0,Ev seedling,s,a,D110w
D1,10,water,Ev,A,1,adult,blue,Ev adult,Ev,8,high,1,0,Ev adult,a,a,D110w
D2,10,water,Ev,1,1,seedling,blue,Ev adult,Ev,8,high,1,0,Ev seedling,s,a,D210w
D2,10,water,Ev,2,1,seedling,blue,Ev adult,Ev,8,high,1,0,Ev seedling,s,a,D210w
D2,10,water,Ev,3,1,seedling,blue,Ev adult,Ev,8,high,1,0,Ev seedling,s,a,D210w
D2,10,water,Ev,A,1,adult,blue,Ev adult,Ev,8,high,1,0,Ev adult,a,a,D210w
D3,10,water,Ev,1,1,seedling,blue,Ev adult,Ev,8,high,1,0,Ev seedling,s,a,D310w
D3,10,water,Ev,2,1,seedling,blue,Ev adult,Ev,8,high,1,0,Ev seedling,s,a,D310w
D3,10,water,Ev,3,1,seedling,blue,Ev adult,Ev,8,high,1,0,Ev seedling,s,a,D310w
D3,10,water,Ev,A,1,adult,blue,Ev adult,Ev,8,high,1,0,Ev adult,a,a,D310w
D4,10,water,Ev,1,1,seedling,blue,Ev adult,Ev,8,high,1,0,Ev seedling,s,a,D410w
D4,10,water,Ev,2,1,seedling,blue,Ev adult,Ev,8,high,1,0,Ev seedling,s,a,D410w
D4,10,water,Ev,3,1,seedling,blue,Ev adult,Ev,8,high,1,0,Ev seedling,s,a,D410w
D1,1,fungicide,Ev,2,1,seedling,red,none,none,0,none,1,1,Ev seedling,s,none,D11f
D1,1,fungicide,Ev,3,1,seedling,red,none,none,0,none,1,1,Ev seedling,s,none,D11f
D1,1,fungicide,Ev,A,1,adult,red,none,none,0,none,1,1,Ev adult,a,none,D11f
D2,1,fungicide,Ev,1,1,seedling,red,none,none,0,none,1,1,Ev seedling,s,none,D21f
D2,1,fungicide,Ev,2,1,seedling,red,none,none,0,none,1,1,Ev seedling,s,none,D21f
D2,1,fungicide,Ev,3,1,seedling,red,none,none,0,none,1,1,Ev seedling,s,none,D21f
D2,1,fungicide,Ev,A,1,adult,red,none,none,0,none,1,1,Ev adult,a,none,D21f
D3,1,fungicide,Ev,1,1,seedling,red,none,none,0,none,1,1,Ev seedling,s,none,D31f
D3,1,fungicide,Ev,2,1,seedling,red,none,none,0,none,1,1,Ev seedling,s,none,D31f
D3,1,fungicide,Ev,3,1,seedling,red,none,none,0,none,1,1,Ev seedling,s,none,D31f
D3,1,fungicide,Ev,A,1,adult,red,none,none,0,none,1,1,Ev adult,a,none,D31f
D4,1,fungicide,Ev,1,1,seedling,red,none,none,0,none,1,1,Ev seedling,s,none,D41f
D4,1,fungicide,Ev,2,1,seedling,red,none,none,0,none,1,1,Ev seedling,s,none,D41f
D4,1,fungicide,Ev,3,1,seedling,red,none,none,0,none,1,1,Ev seedling,s,none,D41f
D4,1,fungicide,Ev,A,1,adult,red,none,none,0,none,1,1,Ev adult,a,none,D41f
D1,2,fungicide,Ev,1,1,seedling,red,Mv,Mv,4,low,1,1,Ev seedling,s,m,D12f
D1,2,fungicide,Ev,2,1,seedling,red,Mv,Mv,4,low,1,1,Ev seedling,s,m,D12f
D1,2,fungicide,Ev,3,1,seedling,red,Mv,Mv,4,low,1,1,Ev seedling,s,m,D12f
D1,2,fungicide,Ev,A,1,adult,red,Mv,Mv,4,low,1,1,Ev adult,a,m,D12f
D2,2,fungicide,Ev,1,1,seedling,red,Mv,Mv,4,low,1,1,Ev seedling,s,m,D22f
D2,2,fungicide,Ev,2,1,seedling,red,Mv,Mv,4,low,1,1,Ev seedling,s,m,D22f
D2,2,fungicide,Ev,3,1,seedling,red,Mv,Mv,4,low,1,1,Ev seedling,s,m,D22f
D2,2,fungicide,Ev,A,1,adult,red,Mv,Mv,4,low,1,1,Ev adult,a,m,D22f
D3,2,fungicide,Ev,1,1,seedling,red,Mv,Mv,4,low,1,1,Ev seedling,s,m,D32f
D3,2,fungicide,Ev,2,1,seedling,red,Mv,Mv,4,low,1,1,Ev seedling,s,m,D32f
D3,2,fungicide,Ev,3,1,seedling,red,Mv,Mv,4,low,1,1,Ev seedling,s,m,D32f
D3,2,fungicide,Ev,A,1,adult,red,Mv,Mv,4,low,1,1,Ev adult,a,m,D32f
D4,2,fungicide,Ev,1,1,seedling,red,Mv,Mv,4,low,1,1,Ev seedling,s,m,D42f
D4,2,fungicide,Ev,2,1,seedling,red,Mv,Mv,4,low,1,1,Ev seedling,s,m,D42f
D4,2,fungicide,Ev,3,1,seedling,red,Mv,Mv,4,low,1,1,Ev seedling,s,m,D42f
D4,2,fungicide,Ev,A,1,adult,red,Mv,Mv,4,low,1,1,Ev adult,a,m,D42f
D1,3,fungicide,Ev,1,1,seedling,red,Mv,Mv,16,medium,1,1,Ev seedling,s,m,D13f
D1,3,fungicide,Ev,2,1,seedling,red,Mv,Mv,16,medium,1,1,Ev seedling,s,m,D13f
D1,3,fungicide,Ev,3,1,seedling,red,Mv,Mv,16,medium,1,1,Ev seedling,s,m,D13f
D1,3,fungicide,Ev,A,1,adult,red,Mv,Mv,16,medium,1,1,Ev adult,a,m,D13f
D2,3,fungicide,Ev,1,1,seedling,red,Mv,Mv,16,medium,1,1,Ev seedling,s,m,D23f
D2,3,fungicide,Ev,2,1,seedling,red,Mv,Mv,16,medium,1,1,Ev seedling,s,m,D23f
D2,3,fungicide,Ev,3,1,seedling,red,Mv,Mv,16,medium,1,1,Ev seedling,s,m,D23f
D2,3,fungicide,Ev,A,1,adult,red,Mv,Mv,16,medium,1,1,Ev adult,a,m,D23f
D3,3,fungicide,Ev,1,1,seedling,red,Mv,Mv,16,medium,1,1,Ev seedling,s,m,D33f
D3,3,fungicide,Ev,2,1,seedling,red,Mv,Mv,16,medium,1,1,Ev seedling,s,m,D33f
D3,3,fungicide,Ev,3,1,seedling,red,Mv,Mv,16,medium,1,1,Ev seedling,s,m,D33f
D3,3,fungicide,Ev,A,1,adult,red,Mv,Mv,16,medium,1,1,Ev adult,a,m,D33f
D4,3,fungicide,Ev,1,1,seedling,red,Mv,Mv,16,medium,1,1,Ev seedling,s,m,D43f
D4,3,fungicide,Ev,2,1,seedling,red,Mv,Mv,16,medium,1,1,Ev seedling,s,m,D43f
D4,3,fungicide,Ev,3,1,seedling,red,Mv,Mv,16,medium,1,1,Ev seedling,s,m,D43f
D4,3,fungicide,Ev,A,1,adult,red,Mv,Mv,16,medium,1,1,Ev adult,a,m,D43f
D1,4,fungicide,Ev,1,1,seedling,red,Mv,Mv,64,high,1,1,Ev seedling,s,m,D14f
D1,4,fungicide,Ev,2,1,seedling,red,Mv,Mv,64,high,1,1,Ev seedling,s,m,D14f
D1,4,fungicide,Ev,3,1,seedling,red,Mv,Mv,64,high,1,1,Ev seedling,s,m,D14f
D1,4,fungicide,Ev,A,1,adult,red,Mv,Mv,64,high,1,1,Ev adult,a,m,D14f
D2,4,fungicide,Ev,1,1,seedling,red,Mv,Mv,64,high,1,1,Ev seedling,s,m,D24f
D2,4,fungicide,Ev,2,1,seedling,red,Mv,Mv,64,high,1,1,Ev seedling,s,m,D24f
D2,4,fungicide,Ev,3,1,seedling,red,Mv,Mv,64,high,1,1,Ev seedling,s,m,D24f
D2,4,fungicide,Ev,A,1,adult,red,Mv,Mv,64,high,1,1,Ev adult,a,m,D24f
D3,4,fungicide,Ev,1,1,seedling,red,Mv,Mv,64,high,1,1,Ev seedling,s,m,D34f
D3,4,fungicide,Ev,2,1,seedling,red,Mv,Mv,64,high,1,1,Ev seedling,s,m,D34f
D3,4,fungicide,Ev,3,1,seedling,red,Mv,Mv,64,high,1,1,Ev seedling,s,m,D34f
D3,4,fungicide,Ev,A,1,adult,red,Mv,Mv,64,high,1,1,Ev adult,a,m,D34f
D4,4,fungicide,Ev,1,1,seedling,red,Mv,Mv,64,high,1,1,Ev seedling,s,m,D44f
D4,4,fungicide,Ev,2,1,seedling,red,Mv,Mv,64,high,1,1,Ev seedling,s,m,D44f
D4,4,fungicide,Ev,3,1,seedling,red,Mv,Mv,64,high,1,1,Ev seedling,s,m,D44f
D4,4,fungicide,Ev,A,1,adult,red,Mv,Mv,64,high,1,1,Ev adult,a,m,D44f
D1,5,fungicide,Ev,1,1,seedling,red,Ev seedling,Ev,4,low,1,1,Ev seedling,s,s,D15f
D1,5,fungicide,Ev,2,1,seedling,red,Ev seedling,Ev,4,low,1,1,Ev seedling,s,s,D15f
D1,5,fungicide,Ev,3,1,seedling,red,Ev seedling,Ev,4,low,1,1,Ev seedling,s,s,D15f
D1,5,fungicide,Ev,A,1,adult,red,Ev seedling,Ev,4,low,1,1,Ev adult,a,s,D15f
D2,5,fungicide,Ev,1,1,seedling,red,Ev seedling,Ev,4,low,1,1,Ev seedling,s,s,D25f
D2,5,fungicide,Ev,2,1,seedling,red,Ev seedling,Ev,4,low,1,1,Ev seedling,s,s,D25f
D2,5,fungicide,Ev,3,1,seedling,red,Ev seedling,Ev,4,low,1,1,Ev seedling,s,s,D25f
D2,5,fungicide,Ev,A,1,adult,red,Ev seedling,Ev,4,low,1,1,Ev adult,a,s,D25f
D3,5,fungicide,Ev,1,1,seedling,red,Ev seedling,Ev,4,low,1,1,Ev seedling,s,s,D35f
D3,5,fungicide,Ev,2,1,seedling,red,Ev seedling,Ev,4,low,1,1,Ev seedling,s,s,D35f
D3,5,fungicide,Ev,3,1,seedling,red,Ev seedling,Ev,4,low,1,1,Ev seedling,s,s,D35f
D3,5,fungicide,Ev,A,1,adult,red,Ev seedling,Ev,4,low,1,1,Ev adult,a,s,D35f
D4,5,fungicide,Ev,1,1,seedling,red,Ev seedling,Ev,4,low,1,1,Ev seedling,s,s,D45f
D4,5,fungicide,Ev,2,1,seedling,red,Ev seedling,Ev,4,low,1,1,Ev seedling,s,s,D45f
D4,5,fungicide,Ev,3,1,seedling,red,Ev seedling,Ev,4,low,1,1,Ev seedling,s,s,D45f
D1,6,fungicide,Ev,1,1,seedling,red,Ev seedling,Ev,8,medium,1,1,Ev seedling,s,s,D16f
D1,6,fungicide,Ev,2,1,seedling,red,Ev seedling,Ev,8,medium,1,1,Ev seedling,s,s,D16f
D1,6,fungicide,Ev,3,1,seedling,red,Ev seedling,Ev,8,medium,1,1,Ev seedling,s,s,D16f
D1,6,fungicide,Ev,A,1,adult,red,Ev seedling,Ev,8,medium,1,1,Ev adult,a,s,D16f
D2,6,fungicide,Ev,1,1,seedling,red,Ev seedling,Ev,8,medium,1,1,Ev seedling,s,s,D26f
D2,6,fungicide,Ev,2,1,seedling,red,Ev seedling,Ev,8,medium,1,1,Ev seedling,s,s,D26f
D2,6,fungicide,Ev,3,1,seedling,red,Ev seedling,Ev,8,medium,1,1,Ev seedling,s,s,D26f
D3,6,fungicide,Ev,1,1,seedling,red,Ev seedling,Ev,8,medium,1,1,Ev seedling,s,s,D36f
D3,6,fungicide,Ev,2,1,seedling,red,Ev seedling,Ev,8,medium,1,1,Ev seedling,s,s,D36f
D3,6,fungicide,Ev,3,1,seedling,red,Ev seedling,Ev,8,medium,1,1,Ev seedling,s,s,D36f
D3,6,fungicide,Ev,A,1,adult,red,Ev seedling,Ev,8,medium,1,1,Ev adult,a,s,D36f
D4,6,fungicide,Ev,1,1,seedling,red,Ev seedling,Ev,8,medium,1,1,Ev seedling,s,s,D46f
D4,6,fungicide,Ev,2,1,seedling,red,Ev seedling,Ev,8,medium,1,1,Ev seedling,s,s,D46f
D4,6,fungicide,Ev,3,1,seedling,red,Ev seedling,Ev,8,medium,1,1,Ev seedling,s,s,D46f
D4,6,fungicide,Ev,A,1,adult,red,Ev seedling,Ev,8,medium,1,1,Ev adult,a,s,D46f
D1,7,fungicide,Ev,1,1,seedling,red,Ev seedling,Ev,16,high,1,1,Ev seedling,s,s,D17f
D1,7,fungicide,Ev,2,1,seedling,red,Ev seedling,Ev,16,high,1,1,Ev seedling,s,s,D17f
D1,7,fungicide,Ev,3,1,seedling,red,Ev seedling,Ev,16,high,1,1,Ev seedling,s,s,D17f
D1,7,fungicide,Ev,A,1,adult,red,Ev seedling,Ev,16,high,1,1,Ev adult,a,s,D17f
D2,7,fungicide,Ev,1,1,seedling,red,Ev seedling,Ev,16,high,1,1,Ev seedling,s,s,D27f
D2,7,fungicide,Ev,2,1,seedling,red,Ev seedling,Ev,16,high,1,1,Ev seedling,s,s,D27f
D2,7,fungicide,Ev,3,1,seedling,red,Ev seedling,Ev,16,high,1,1,Ev seedling,s,s,D27f
D2,7,fungicide,Ev,A,1,adult,red,Ev seedling,Ev,16,high,1,1,Ev adult,a,s,D27f
D3,7,fungicide,Ev,1,1,seedling,red,Ev seedling,Ev,16,high,1,1,Ev seedling,s,s,D37f
D3,7,fungicide,Ev,2,1,seedling,red,Ev seedling,Ev,16,high,1,1,Ev seedling,s,s,D37f
D3,7,fungicide,Ev,3,1,seedling,red,Ev seedling,Ev,16,high,1,1,Ev seedling,s,s,D37f
D3,7,fungicide,Ev,A,1,adult,red,Ev seedling,Ev,16,high,1,1,Ev adult,a,s,D37f
D4,7,fungicide,Ev,1,1,seedling,red,Ev seedling,Ev,16,high,1,1,Ev seedling,s,s,D47f
D4,7,fungicide,Ev,2,1,seedling,red,Ev seedling,Ev,16,high,1,1,Ev seedling,s,s,D47f
D4,7,fungicide,Ev,3,1,seedling,red,Ev seedling,Ev,16,high,1,1,Ev seedling,s,s,D47f
D4,7,fungicide,Ev,A,1,adult,red,Ev seedling,Ev,16,high,1,1,Ev adult,a,s,D47f
D1,8,fungicide,Ev,1,1,seedling,red,Ev adult,Ev,2,low,1,1,Ev seedling,s,a,D18f
D1,8,fungicide,Ev,2,1,seedling,red,Ev adult,Ev,2,low,1,1,Ev seedling,s,a,D18f
D1,8,fungicide,Ev,3,1,seedling,red,Ev adult,Ev,2,low,1,1,Ev seedling,s,a,D18f
D1,8,fungicide,Ev,A,1,adult,red,Ev adult,Ev,2,low,1,1,Ev adult,a,a,D18f
