site_plot,trial,seeds,germination_final,seeds_dark,seeds_light,seeds_infect,prop_germ,prop_dark,prop_light,site,plot,treatment,fungicide,plotf
D3 5W,2,30,22,1,6,1,0.7333333333333333,0.03333333333333333,0.2,D3,5,control,0,D35c
D3 6F,2,30,28,2,18,1,0.9333333333333333,0.06666666666666667,0.6,D3,6,fungicide,1,D36f
D3 6W,2,30,19,6,4,1,0.6333333333333333,0.2,0.13333333333333333,D3,6,control,0,D36c
D3 7F,2,30,26,0,2,1,0.8666666666666667,0,0.06666666666666667,D3,7,fungicide,1,D37f
D3 7W,2,30,16,7,4,1,0.5333333333333333,0.23333333333333334,0.13333333333333333,D3,7,control,0,D37c
D3 8F,2,30,16,2,3,1,0.5333333333333333,0.06666666666666667,0.1,D3,8,fungicide,1,D38f
D3 8W,2,30,23,2,6,1,0.7666666666666667,0.06666666666666667,0.2,D3,8,control,0,D38c
D3 9F,2,30,20,1,14,1,0.6666666666666666,0.03333333333333333,0.4666666666666667,D3,9,fungicide,1,D39f
D3 9W,2,30,20,6,5,1,0.6666666666666666,0.2,0.16666666666666666,D3,9,control,0,D39c
D4 10W,2,30,20,2,4,1,0.6666666666666666,0.06666666666666667,0.13333333333333333,D4,10,control,0,D410c
D4 1F,2,30,14,0,8,1,0.4666666666666667,0,0.26666666666666666,D4,1,fungicide,1,D41f
D4 1W,2,30,21,3,10,1,0.7,0.1,0.3333333333333333,D4,1,control,0,D41c
D4 2F,2,30,23,0,12,1,0.7666666666666667,0,0.4,D4,2,fungicide,1,D42f
D4 2W,2,30,19,3,3,1,0.6333333333333333,0.1,0.1,D4,2,control,0,D42c
D4 3F,2,30,18,3,7,1,0.6,0.1,0.23333333333333334,D4,3,fungicide,1,D43f
D4 3W,2,30,11,3,8,1,0.36666666666666664,0.1,0.26666666666666666,D4,3,control,0,D43c
D4 4F,2,30,24,4,6,1,0.8,0.13333333333333333,0.2,D4,4,fungicide,1,D44f
D4 4W,2,30,26,7,5,1,0.8666666666666667,0.23333333333333334,0.16666666666666666,D4,4,control,0,D44c
D4 5F,2,30,22,2,4,1,0.7333333333333333,0.06666666666666667,0.13333333333333333,D4,5,fungicide,1,D45f
D4 5W,2,30,22,2,4,1,0.7333333333333333,0.06666666666666667,0.13333333333333333,D4,5,control,0,D45c
D4 6F,2,30,20,2,5,1,0.6666666666666666,0.06666666666666667,0.16666666666666666,D4,6,fungicide,1,D46f
D4 6W,2,30,25,2,6,1,0.8333333333333334,0.06666666666666667,0.2,D4,6,control,0,D46c
D4 7F,2,30,15,4,8,1,0.5,0.13333333333333333,0.26666666666666666,D4,7,fungicide,1,D47f
D4 7W,2,30,19,1,6,1,0.6333333333333333,0.03333333333333333,0.2,D4,7,control,0,D47c
D4 8W,2,30,22,1,9,1,0.7333333333333333,0.03333333333333333,0.3,D4,8,control,0,D48c
D4 9F,2,30,25,0,5,1,0.8333333333333334,0,0.16666666666666666,D4,9,fungicide,1,D49f
D4 9W,2,30,17,3,4,1,0.5666666666666667,0.1,0.13333333333333333,D4,9,control,0,D49c
D3 5F,3,30,29,0,2,1,0.9666666666666667,0,0.06666666666666667,D3,5,fungicide,1,D35f
D3 5W,3,30,30,0,1,1,1,0,0.03333333333333333,D3,5,control,0,D35c
D3 6F,3,30,29,1,2,1,0.9666666666666667,0.03333333333333333,0.06666666666666667,D3,6,fungicide,1,D36f
D3 6W,3,30,23,0,2,1,0.7666666666666667,0,0.06666666666666667,D3,6,control,0,D36c
D3 7F,3,30,28,0,8,1,0.9333333333333333,0,0.26666666666666666,D3,7,fungicide,1,D37f
D3 7W,3,30,25,0,3,1,0.8333333333333334,0,0.1,D3,7,control,0,D37c
D3 8F,3,30,27,0,5,1,0.9,0,0.16666666666666666,D3,8,fungicide,1,D38f
D3 8W,3,30,28,0,4,1,0.9333333333333333,0,0.13333333333333333,D3,8,control,0,D38c
D3 9F,3,30,27,0,3,1,0.9,0,0.1,D3,9,fungicide,1,D39f
D3 9W,3,30,25,2,3,1,0.8333333333333334,0.06666666666666667,0.1,D3,9,control,0,D39c
D4 10W,3,30,26,0,1,1,0.8666666666666667,0,0.03333333333333333,D4,10,control,0,D410c
D4 1F,3,30,25,0,7,1,0.8333333333333334,0,0.23333333333333334,D4,1,fungicide,1,D41f
D4 1W,3,30,29,0,5,1,0.9666666666666667,0,0.16666666666666666,D4,1,control,0,D41c
D4 2F,3,30,24,0,8,1,0.8,0,0.26666666666666666,D4,2,fungicide,1,D42f
D4 2W,3,30,25,0,2,1,0.8333333333333334,0,0.06666666666666667,D4,2,control,0,D42c
D4 3F,3,30,18,2,8,1,0.6,0.06666666666666667,0.26666666666666666,D4,3,fungicide,1,D43f
D4 3W,3,30,24,1,6,1,0.8,0.03333333333333333,0.2,D4,3,control,0,D43c
D4 4F,3,30,29,0,10,1,0.9666666666666667,0,0.3333333333333333,D4,4,fungicide,1,D44f
D4 4W,3,22,22,0,3,1,1,0,0.13636363636363635,D4,4,control,0,D44c
D4 5F,3,30,23,0,6,1,0.7666666666666667,0,0.2,D4,5,fungicide,1,D45f
D4 5W,3,30,27,0,7,1,0.9,0,0.23333333333333334,D4,5,control,0,D45c
D4 6F,3,30,26,0,3,1,0.8666666666666667,0,0.1,D4,6,fungicide,1,D46f
D4 6W,3,30,26,0,9,1,0.8666666666666667,0,0.3,D4,6,control,0,D46c
D4 7F,3,30,27,0,7,1,0.9,0,0.23333333333333334,D4,7,fungicide,1,D47f
D4 7W,3,29,23,0,14,1,0.7931034482758621,0,0.4827586206896552,D4,7,control,0,D47c
D4 8W,3,30,24,0,11,1,0.8,0,0.36666666666666664,D4,8,control,0,D48c
D4 9F,3,30,24,1,4,1,0.8,0.03333333333333333,0.13333333333333333,D4,9,fungicide,1,D49f
D4 9W,3,30,22,0,9,1,0.7333333333333333,0,0.3,D4,9,control,0,D49c
D3 10F,4,30,27,2,7,1,0.9,0.06666666666666667,0.23333333333333334,D3,10,fungicide,1,D310f
D2 9W,4,30,29,1,9,1,0.9666666666666667,0.03333333333333333,0.3,D2,9,control,0,D29c
