Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
lesions:D4_3W_Mv1,34,28490,837.941,5.101,255,108.128,42.434,17.854,111.416
leaf:D4_3W_Mv2,1,183880,183880,20.305,255,2905.072,1206.904,193.987,173.865
lesions:D4_3W_Mv2,17,17246,1014.471,5.444,255,146.72,58.393,16.864,131.544
leaf:D4_3W_Mv3,1,327839,327839,18.772,255,3925.094,1531.378,272.576,176.187
lesions:D4_3W_Mv3,34,62884,1849.529,8.779,255,168.427,60.145,14.189,112.604
leaf:D4_4F_BgMv,10,3693912,369391.2,20.913,255,3950.103,1645.439,276.985,89.121
lesions:D4_4F_BgMv,53,19902,375.509,0.141,255,65.367,25.139,13.463,86.854
leaf:D4_4F_Mv2,1,121898,121898,11.836,255,2407.845,1014.452,152.994,175.745
lesions:D4_4F_Mv2,3,1229,409.667,0.636,255,69.618,29.027,12.466,89.128
leaf:D4_4F_Mv3,1,296014,296014,23.724,255,3457.516,1437.419,262.204,178.738
lesions:D4_4F_Mv3,3,1339,446.333,0.309,255,81.908,30.862,16.575,119.536
leaf:D4_4W_BgMv,10,2403162,240316.2,18.196,255,2979.693,1220.358,243.005,74.57
lesions:D4_4W_BgMv,128,197480,1542.812,1.898,255,134.993,45.319,16.562,87.596
leaf:D4_4W_Mv1,1,100157,100157,17.523,255,1793.342,731.149,174.416,172.014
lesions:D4_4W_Mv1,12,7125,593.75,4.404,255,83.948,30.371,14.326,124.585
leaf:D4_4W_Mv2,1,188134,188134,19.107,255,2678.927,1096.259,218.506,163.676
lesions:D4_4W_Mv2,20,12103,605.15,2.428,255,82.17,27.981,12.311,147.101
leaf:D4_4W_Mv3,1,274263,274263,24.44,255,3314.268,1387.042,251.761,173.365
lesions:D4_4W_Mv3,14,25487,1820.5,5.358,255,165.449,59.888,24.292,80.28
leaf:D4_5F_BgMv,10,2650314,265031.4,19.575,255,3264.059,1354.774,246.612,125.857
lesions:D4_5F_BgMv,110,151413,1376.482,1.517,255,147.941,56.084,19.236,88.159
leaf:D4_5F_Mv1,1,160445,160445,10.756,255,2906.982,1248.066,163.681,175.803
lesions:D4_5F_Mv1,3,528,176,0.2,255,48.594,17.807,11.247,75.226
leaf:D4_5F_Mv2,1,190428,190428,15.543,255,2690.379,1105.426,219.337,179.318
lesions:D4_5F_Mv2,5,1396,279.2,0.499,255,57.016,21.545,12.692,108.047
leaf:D4_5W_BgMv,10,1998774,199877.4,13.929,255,2925.725,1133.594,221.787,60.809
lesions:D4_5W_BgMv,75,153794,2050.587,1.567,255,177.169,53.197,19.601,72.763
leaf:D4_5W_Mv1,1,215688,215688,21.907,255,2961.749,1220.456,225.016,11.99
lesions:D4_5W_Mv1,5,3091,618.2,0.634,255,93.012,34.583,15.257,27.592
leaf:D4_5W_Mv2,1,97000,97000,15.84,255,2030.823,776.842,158.982,6.249
lesions:D4_5W_Mv2,11,15592,1417.455,7.896,255,174.724,62.392,20.372,26.994
leaf:D4_5W_Mv3,1,152354,152354,15.574,255,2310.438,947.316,204.771,3.57
lesions:D4_5W_Mv3,7,4688,669.714,2.063,255,98.467,37.062,19.643,58.207
leaf:D4_6F_BgMv,10,2279316,227931.6,20.94,255,2924.367,1213.133,237.226,90.066
lesions:D4_6F_BgMv,75,48672,648.96,0.53,255,93.338,34.858,14.371,95.965
leaf:D4_6F_Mv1,1,105432,105432,15.609,255,2214.573,883.846,151.882,0.549
lesions:D4_6F_Mv1,6,1777,296.167,1.09,255,69.611,30.376,9.417,61.305
leaf:D4_6F_Mv2,1,161224,161224,18.446,255,2668.254,1135.264,180.819,2.617
lesions:D4_6F_Mv2,4,802,200.5,0.341,255,51.542,21.163,8.961,91.596
leaf:D4_6W_BgMv,10,1933245,193324.5,15.921,255,2656.917,1093.892,223.972,24.368
lesions:D4_6W_BgMv,65,52374,805.754,0.554,255,105.416,40.768,15.827,49.296
leaf:D4_6W_Mv1,1,202104,202104,21.35,255,2851.19,1182.944,217.531,172.338
lesions:D4_6W_Mv1,2,11369,5684.5,3.229,255,485.676,160.447,26.438,166.72
leaf:D4_6W_Mv2,1,219811,219811,20.282,255,2994.019,1254.746,223.051,5.094
lesions:D4_6W_Mv2,5,2018,403.6,0.566,255,70.39,27.756,13.662,22.618
leaf:D4_6W_Mv3,1,197087,197087,17.541,255,2910.58,1257.524,199.55,175.383
lesions:D4_6W_Mv3,2,207,103.5,0.067,255,37.506,13.875,9.501,12.15
leaf:D4_7F_BgMv,10,2884780,288478,19.416,255,3369.34,1379.392,262.137,123.087
lesions:D4_7F_BgMv,63,25805,409.603,0.212,255,73.593,29.668,12.142,113.034
leaf:D4_7F_Mv1,1,151461,151461,18.615,255,2331.568,976.467,197.494,4.289
lesions:D4_7F_Mv1,3,778,259.333,0.339,255,62.641,24.292,13.617,7.254
leaf:D4_7F_Mv2,1,149986,149986,15.557,255,2331.727,966.547,197.578,177.383
lesions:D4_7F_Mv2,3,2000,666.667,0.885,255,106.245,42.674,18.216,111.003
leaf:D4_7F_Mv3,1,125569,125569,17.443,255,2079.585,855.725,186.835,1.482
lesions:D4_7F_Mv3,3,1099,366.333,0.589,255,76.574,30.743,14.025,90.994
leaf:D4_7W_BgMv,10,2365708,236570.8,19.035,255,2943.034,1221.996,243.261,106.876
lesions:D4_7W_BgMv,139,195772,1408.432,1.949,255,134.933,46.94,18.146,79.426
leaf:D4_7W_Mv1,1,300987,300987,25.405,255,3554.445,1508.111,254.112,3.829
lesions:D4_7W_Mv1,18,9348,519.333,2.027,255,91.099,36.509,7.233,60.106
leaf:D4_7W_Mv2,1,83520,83520,19.454,255,1797.377,746.87,142.382,176.785
lesions:D4_7W_Mv2,7,6759,965.571,5.364,255,129.803,49.109,14.59,93.341
leaf:D4_7W_Mv3,1,31885,31885,10.174,255,1086.34,458.607,88.523,169.55
lesions:D4_7W_Mv3,4,1947,486.75,3.374,255,118.437,48.885,10.207,159.701
leaf:D4_8W_BgMv,11,1680219,152747.182,17.842,255,2372.17,983.823,194.062,98.59
lesions:D4_8W_BgMv,70,89473,1278.186,1.303,255,145.226,56.476,18.042,84.462
leaf:D4_8W_Mv1,1,86760,86760,16.876,255,1875.034,792.864,139.326,174.747
lesions:D4_8W_Mv1,2,12416,6208,8.915,255,448.856,167.312,28.878,93.302
leaf:D4_8W_Mv2,1,109702,109702,15.267,255,1995.935,826.883,168.92,167.207
lesions:D4_8W_Mv2,5,6177,1235.4,2.779,255,161.228,55.443,14.857,92.323
leaf:D4_8W_Mv3,1,224218,224218,19.084,255,2925.616,1193.411,239.216,174.848
lesions:D4_8W_Mv3,8,4636,579.5,1.3,255,109.593,47.674,12.326,151.503
