date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots,scan,path_ID,seeds_collected,field_notes
20190731,D1,10,fungicide,Ev,A,7,5,0,1,0,0,
20190731,D1,1,water,Ev,1,7,2,0,1,0,0,
20190731,D1,1,water,Ev,2,4,2,0,1,0,0,
20190731,D1,1,water,Ev,3,8,4,0,1,0,0,
20190731,D1,1,water,Ev,A,7,3,0,1,0,0,
20190731,D1,2,water,Ev,1,4,1,0,1,0,0,
20190731,D1,2,water,Ev,2,6,4,1,1,1,0,only 1 clear Bp leaf
20190731,D1,2,water,Ev,3,7,1,0,1,0,0,
20190731,D1,2,water,Ev,A,4,4,0,1,0,0,
20190731,D1,3,water,Ev,1,8,3,1,1,1,0,
20190731,D1,3,water,Ev,2,9,2,0,1,0,0,
20190731,D1,3,water,Ev,3,7,1,0,1,0,0,
20190731,D1,3,water,Ev,A,2,2,1,1,1,0,only 1 clear Bp leaf
20190731,D1,4,water,Ev,1,6,3,0,1,0,0,
20190731,D1,4,water,Ev,2,8,2,0,1,0,0,
20190731,D1,4,water,Ev,3,8,2,0,1,0,0,
20190731,D1,4,water,Ev,A,4,2,0,1,0,0,
20190731,D1,5,water,Ev,1,7,3,0,1,0,0,
20190731,D1,5,water,Ev,2,7,2,0,1,0,0,
20190731,D1,5,water,Ev,3,7,4,0,1,0,0,
20190731,D1,5,water,Ev,A,6,6,0,1,0,0,
20190801,D1,6,water,Ev,1,3,3,0,1,0,0,
20190801,D1,6,water,Ev,2,7,3,0,1,0,0,
20190801,D1,6,water,Ev,3,4,1,0,0,0,0,one green tiller
20190801,D1,6,water,Ev,A,5,4,0,1,0,0,
20190731,D1,7,water,Ev,1,5,2,0,1,0,0,
20190731,D1,7,water,Ev,2,6,4,0,1,0,0,
20190731,D1,7,water,Ev,3,6,4,0,1,0,0,
20190731,D1,7,water,Ev,A,2,2,0,0,0,0,too few leaves
20190801,D1,8,water,Ev,1,3,3,0,1,0,0,
20190801,D1,8,water,Ev,2,7,6,1,1,1,0,
20190801,D1,8,water,Ev,3,9,5,1,1,1,0,
20190801,D1,8,water,Ev,A,5,5,1,1,1,0,
20190731,D1,9,water,Ev,1,6,2,0,1,0,0,
20190731,D1,9,water,Ev,2,9,7,0,1,0,0,
20190731,D1,9,water,Ev,3,8,3,0,1,0,0,
20190731,D1,9,water,Ev,A,6,4,0,1,0,0,
20190731,D1,10,water,Ev,1,5,2,0,1,0,0,
20190731,D1,10,water,Ev,2,1,1,0,0,0,0,too few leaves
20190731,D1,10,water,Ev,3,5,2,0,0,0,0,too few leaves
20190731,D1,10,water,Ev,A,1,1,0,0,0,0,too few leaves
20190731,D2,1,fungicide,Ev,1,8,3,0,1,0,0,
20190731,D2,1,fungicide,Ev,2,10,5,0,1,0,0,
20190731,D2,1,fungicide,Ev,3,7,7,0,1,0,0,
20190731,D2,1,fungicide,Ev,A,3,3,0,1,0,0,
20190730,D2,2,fungicide,Ev,1,9,3,0,1,0,0,angular cuts
20190730,D2,2,fungicide,Ev,2,9,4,0,1,0,0,
20190730,D2,2,fungicide,Ev,3,8,3,0,1,0,0,
20190730,D2,2,fungicide,Ev,A,3,2,0,0,0,0,limited leaves
20190730,D2,3,fungicide,Ev,1,4,2,1,1,1,0,
20190730,D2,3,fungicide,Ev,2,5,3,1,1,1,0,
20190730,D2,3,fungicide,Ev,3,6,6,1,1,1,0,
20190730,D2,3,fungicide,Ev,A,7,2,1,1,1,0,
20190730,D2,4,fungicide,Ev,1,7,3,0,1,0,0,
20190730,D2,4,fungicide,Ev,2,5,3,0,1,0,0,
20190730,D2,4,fungicide,Ev,3,7,3,0,1,0,0,
20190730,D2,4,fungicide,Ev,A,6,3,0,1,0,1,
20190730,D2,5,fungicide,Ev,1,4,4,0,1,0,0,
20190730,D2,5,fungicide,Ev,2,7,2,0,1,0,0,
20190730,D2,5,fungicide,Ev,3,3,3,1,0,0,0,"high herbivory, angular cuts"
20190730,D2,5,fungicide,Ev,A,3,2,0,1,0,0,
20190731,D2,6,fungicide,Ev,1,1,1,1,0,0,0,"high herbivory, angular cuts"
20190731,D2,6,fungicide,Ev,2,1,1,1,0,0,0,"high herbivory, angular cuts"
20190731,D2,6,fungicide,Ev,3,3,3,1,0,0,0,"too few green leaves, high herbivory, angular cuts"
20190731,D2,6,fungicide,Ev,A,1,1,1,0,0,0,"too few green leaves, high herbivory, angular cuts"
20190730,D2,7,fungicide,Ev,1,5,3,0,1,0,0,
20190730,D2,7,fungicide,Ev,2,7,4,0,1,0,0,
20190730,D2,7,fungicide,Ev,3,8,3,0,1,0,0,
20190730,D2,7,fungicide,Ev,A,7,3,0,1,0,0,
20190731,D2,8,fungicide,Ev,1,7,6,1,1,1,0,
20190731,D2,8,fungicide,Ev,2,7,5,1,1,1,0,
20190731,D2,8,fungicide,Ev,3,5,3,1,1,1,0,
20190731,D2,8,fungicide,Ev,A,3,3,1,1,1,1,
20190730,D2,9,fungicide,Ev,1,1,1,1,0,0,0,"high herbivory, not enough leaves, angular cuts"
20190730,D2,9,fungicide,Ev,2,3,3,1,0,0,0,"high herbivory, not enough leaves, angular cuts"
20190730,D2,9,fungicide,Ev,3,3,3,1,0,0,0,"high herbivory, not enough leaves, angular cuts"
20190730,D2,9,fungicide,Ev,A,3,3,1,1,1,0,
20190730,D2,10,fungicide,Ev,1,7,3,0,1,0,0,
20190730,D2,10,fungicide,Ev,2,7,3,0,1,0,0,
20190730,D2,10,fungicide,Ev,3,7,4,0,1,0,0,
20190730,D2,10,fungicide,Ev,A,2,2,0,0,0,0,too few green leaves to sample
20190730,D2,1,water,Ev,1,4,2,1,0,0,0,not enough leaves
20190730,D2,1,water,Ev,2,5,1,0,0,0,0,"high herbivory, not enough leaves"
20190730,D2,1,water,Ev,3,1,0,0,0,0,0,"1 green leaf, angular cuts"
20190730,D2,1,water,Ev,A,1,1,0,0,0,1,1 green leaf
20190730,D2,2,water,Ev,1,9,7,1,1,1,0,
20190730,D2,2,water,Ev,2,5,5,1,1,1,0,
20190730,D2,2,water,Ev,3,2,2,1,1,1,0,
20190730,D2,2,water,Ev,A,9,4,0,1,0,1,
20190730,D2,3,water,Ev,1,5,3,0,1,0,0,
20190730,D2,3,water,Ev,2,7,3,1,1,1,0,only one clear Bp leaf
20190730,D2,3,water,Ev,3,8,4,0,1,0,0,
