date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots,scan,seeds_collected,field_notes
20190703,D4,6,water,Mv,2,6,1,NA,1,NA,
20190703,D4,6,water,Mv,3,5,0,NA,1,NA,no 2 lesion leaf
20190703,D4,7,water,Mv,1,7,5,NA,1,NA,
20190703,D4,7,water,Mv,2,5,2,NA,1,NA,
20190703,D4,7,water,Mv,3,8,4,NA,1,NA,
20190702,D4,8,water,Mv,1,6,2,NA,1,NA,
20190702,D4,8,water,Mv,2,7,2,NA,1,NA,
20190702,D4,8,water,Mv,3,6,3,NA,1,NA,
20190703,D4,9,water,Mv,1,4,1,NA,1,NA,
20190703,D4,9,water,Mv,2,6,1,NA,1,NA,
20190703,D4,9,water,Mv,3,5,1,NA,1,NA,
20190702,D4,10,water,Mv,1,8,4,NA,1,NA,
20190702,D4,10,water,Mv,2,7,2,NA,1,NA,
20190702,D4,10,water,Mv,3,5,0,NA,1,NA,
20190704,D1,1,fungicide,Ev,1,5,5,0,0,0,too small
20190704,D1,1,fungicide,Ev,2,7,4,0,0,0,too small
20190704,D1,1,fungicide,Ev,3,5,3,0,0,0,too small
20190704,D1,1,fungicide,Ev,A,4,2,0,1,0,
20190705,D1,2,fungicide,Ev,1,4,2,0,1,0,
20190705,D1,2,fungicide,Ev,2,7,2,0,1,0,
20190705,D1,2,fungicide,Ev,3,6,3,0,1,0,
20190705,D1,2,fungicide,Ev,A,5,2,0,1,0,
20190704,D1,3,fungicide,Ev,1,8,2,0,1,0,
20190704,D1,3,fungicide,Ev,2,7,1,0,1,0,
20190704,D1,3,fungicide,Ev,3,8,2,0,1,0,
20190704,D1,3,fungicide,Ev,A,8,3,0,1,0,
20190704,D1,4,fungicide,Ev,1,7,3,1,1,0,
20190704,D1,4,fungicide,Ev,2,7,2,1,1,0,
20190704,D1,4,fungicide,Ev,3,2,1,0,1,0,only tiller w/ infection
20190704,D1,4,fungicide,Ev,A,5,1,0,1,0,
20190704,D1,5,fungicide,Ev,1,6,4,0,1,0,
20190704,D1,5,fungicide,Ev,2,8,5,0,1,0,
20190704,D1,5,fungicide,Ev,3,5,3,0,1,0,
20190704,D1,5,fungicide,Ev,A,7,3,0,1,0,
20190705,D1,6,fungicide,Ev,1,8,1,0,1,0,
20190705,D1,6,fungicide,Ev,2,8,3,0,1,0,
20190705,D1,6,fungicide,Ev,3,8,3,0,1,0,
20190705,D1,6,fungicide,Ev,A,5,3,0,1,0,
20190704,D1,7,fungicide,Ev,1,6,1,0,1,0,
20190704,D1,7,fungicide,Ev,2,6,2,0,1,0,
20190704,D1,7,fungicide,Ev,3,5,2,0,1,0,
20190704,D1,7,fungicide,Ev,A,6,4,0,1,0,
20190705,D1,8,fungicide,Ev,1,6,4,1,1,0,
20190705,D1,8,fungicide,Ev,2,5,2,0,1,0,
20190705,D1,8,fungicide,Ev,3,7,3,0,1,0,
20190705,D1,8,fungicide,Ev,A,7,1,0,1,0,
20190705,D1,9,fungicide,Ev,1,5,1,0,1,0,
20190705,D1,9,fungicide,Ev,2,5,3,0,1,0,
20190705,D1,9,fungicide,Ev,3,8,5,0,1,0,
20190705,D1,9,fungicide,Ev,A,6,3,0,1,0,
20190704,D1,10,fungicide,Ev,1,5,3,0,1,0,
20190704,D1,10,fungicide,Ev,2,5,3,0,1,0,
20190704,D1,10,fungicide,Ev,3,7,2,0,1,0,
20190704,D1,10,fungicide,Ev,A,4,0,0,1,0,
20190704,D1,1,water,Ev,1,5,2,0,1,0,
20190704,D1,1,water,Ev,2,6,2,0,1,0,
20190704,D1,1,water,Ev,3,8,2,0,1,0,
20190704,D1,1,water,Ev,A,6,3,0,1,0,
20190704,D1,2,water,Ev,1,6,2,0,1,0,
20190704,D1,2,water,Ev,2,7,3,0,1,0,
20190704,D1,2,water,Ev,3,7,2,0,1,0,
20190704,D1,2,water,Ev,A,6,3,1,1,0,
20190704,D1,3,water,Ev,1,7,3,0,1,0,
20190704,D1,3,water,Ev,2,6,3,0,1,0,
20190704,D1,3,water,Ev,3,7,3,0,1,0,
20190704,D1,3,water,Ev,A,4,3,0,1,0,
20190705,D1,4,water,Ev,1,5,1,0,1,0,
20190705,D1,4,water,Ev,2,7,3,0,1,0,
