site,plot,treatment,bag,stems,seeds,seed_weight.g,count_date,count_initials,bag_notes
D1,8,fungicide,10,3,65,0.1083,2/4/2019,DM,
D1,9,fungicide,1,0,89,0.0789,2/1/2019,PR,
D1,9,fungicide,2,0,63,0.0573,2/1/2019,PR,
D1,9,fungicide,3,0,58,0.0622,2/1/2019,PR,
D1,9,fungicide,4,0,73,0.072,2/1/2019,PR,
D1,9,fungicide,5,1,111,0.1026,2/1/2019,PR,
D1,9,fungicide,6,0,84,0.1008,2/1/2019,PR,
D1,9,fungicide,7,0,156,0.0922,2/1/2019,PR,Recounted by RT
D1,9,fungicide,8,0,84,0.0913,2/1/2019,PR,
D1,9,fungicide,9,0,65,0.0731,2/1/2019,PR,
D1,9,fungicide,10,0,59,0.0667,2/1/2019,PR,
D1,10,fungicide,1,3,142,0.1747,2/1/2019,DM,
D1,10,fungicide,2,0,48,0.0425,2/1/2019,DM,
D1,10,fungicide,3,0,34,0.0269,2/1/2019,DM,
D1,10,fungicide,4,0,73,0.0994,2/1/2019,DM,
D1,10,fungicide,5,1,135,0.1565,2/1/2019,DM,
D1,10,fungicide,6,0,108,0.0806,2/1/2019,DM,
D1,10,fungicide,7,0,125,0.1306,2/1/2019,DM,
D1,10,fungicide,8,0,105,0.1044,2/1/2019,DM,
D1,10,fungicide,9,0,66,0.0548,2/1/2019,DM,
D1,10,fungicide,10,0,44,0.0468,2/1/2019,DM,
D2,1,water,1,2,41,0.0438,1/14/2019,DN,H.C.
D2,1,water,2,2,19,0.0188,1/14/2019,DN,
D2,1,water,3,3,33,0.0405,1/14/2019,DN,
D2,1,water,4,2,60,0.0785,1/14/2019,DN,
D2,1,water,5,3,58,0.0555,1/14/2019,DN,
D2,1,water,6,1,45,0.0565,1/14/2019,DN,
D2,1,water,7,1,33,0.0369,1/14/2019,DN,
D2,1,water,8,3,48,0.0447,1/18/2019,ZC,
D2,1,water,9,2,38,0.0354,1/18/2019,ZC,
D2,1,water,10,0,41,0.0424,1/18/2019,ZC,
D2,2,water,1,2,67,0.0614,1/31/2019,DM,
D2,2,water,2,3,72,0.0806,1/31/2019,DM,
D2,2,water,3,3,64,0.0716,1/31/2019,DM,
D2,2,water,4,3,71,0.0891,1/31/2019,DM,
D2,2,water,5,2,58,0.0888,1/31/2019,DM,
D2,2,water,6,2,85,0.0996,1/31/2019,DM,
D2,2,water,7,2,91,0.1057,1/31/2019,DM,
D2,2,water,8,3,82,0.0909,1/31/2019,DM,
D2,2,water,9,0,21,0.0431,1/31/2019,DM,
D2,2,water,10,0,141,0.1185,1/31/2019,DM,
D2,3,water,1,2,48,0.0545,1/30/2019,PR,
D2,3,water,2,2,60,0.0583,1/30/2019,PR,
D2,3,water,3,3,51,0.0407,1/30/2019,PR,
D2,3,water,4,1,61,0.0615,1/30/2019,PR,
D2,3,water,5,1,59,0.0662,1/30/2019,PR,
D2,3,water,6,0,34,0.0361,1/30/2019,PR,
D2,3,water,7,0,41,0.0376,1/30/2019,PR,
D2,3,water,8,0,54,0.0613,1/30/2019,PR,
D2,3,water,9,1,47,0.0394,1/30/2019,PR,
D2,3,water,10,3,52,0.0635,1/30/2019,PR,
D2,4,water,1,1,54,0.0617,1/28/2019,DM,
D2,4,water,2,0,49,0.0556,1/28/2019,DM,
D2,4,water,3,3,34,0.0293,1/28/2019,DM,
D2,4,water,4,3,28,0.0528,1/28/2019,DM,
D2,4,water,5,1,39,0.0672,1/28/2019,DM,
D2,4,water,6,3,67,0.0963,1/28/2019,DM,
D2,4,water,7,3,100,0.1049,1/28/2019,DM,
