date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,field_notes
20180924,D1,7,fungicide,Mv,2,5,0,
20180924,D1,7,fungicide,Mv,3,6,3,
20180926,D1,8,fungicide,Mv,1,4,2,
20180926,D1,8,fungicide,Mv,2,2,2,
20180926,D1,8,fungicide,Mv,3,3,1,
20180926,D1,9,fungicide,Mv,1,5,2,
20180926,D1,9,fungicide,Mv,2,6,2,
20180926,D1,9,fungicide,Mv,3,6,5,
20180926,D1,10,fungicide,Mv,1,6,3,
20180926,D1,10,fungicide,Mv,2,4,3,
20180926,D1,10,fungicide,Mv,3,4,3,
20180925,D2,1,water,Mv,1,5,1,
20180925,D2,1,water,Mv,2,3,1,
20180925,D2,1,water,Mv,3,6,2,
20180925,D2,2,water,Mv,1,4,4,
20180925,D2,2,water,Mv,2,3,3,
20180925,D2,2,water,Mv,3,3,3,
20180925,D2,2,water,Mv,Bg1,3,3,
20180925,D2,2,water,Mv,Bg10,4,4,
20180925,D2,2,water,Mv,Bg2,3,3,
20180925,D2,2,water,Mv,Bg3,2,2,
20180925,D2,2,water,Mv,Bg4,3,3,
20180925,D2,2,water,Mv,Bg5,3,3,
20180925,D2,2,water,Mv,Bg6,4,4,
20180925,D2,2,water,Mv,Bg7,2,2,
20180925,D2,2,water,Mv,Bg8,5,5,
20180925,D2,2,water,Mv,Bg9,5,5,
20180925,D2,3,water,Mv,1,4,2,
20180925,D2,3,water,Mv,2,4,1,
20180925,D2,3,water,Mv,3,4,2,
20180925,D2,3,water,Mv,Bg1,3,2,
20180925,D2,3,water,Mv,Bg10,5,1,
20180925,D2,3,water,Mv,Bg2,5,4,
20180925,D2,3,water,Mv,Bg3,3,1,
20180925,D2,3,water,Mv,Bg4,5,3,
20180925,D2,3,water,Mv,Bg5,3,2,
20180925,D2,3,water,Mv,Bg6,5,1,
20180925,D2,3,water,Mv,Bg7,5,1,
20180925,D2,3,water,Mv,Bg8,5,1,
20180925,D2,3,water,Mv,Bg9,2,1,
20180925,D2,4,water,Mv,1,3,3,
20180925,D2,4,water,Mv,2,3,3,
20180925,D2,4,water,Mv,3,4,4,
20180925,D2,4,water,Mv,Bg1,2,2,
20180925,D2,4,water,Mv,Bg10,4,4,
20180925,D2,4,water,Mv,Bg2,2,2,
20180925,D2,4,water,Mv,Bg3,3,2,
20180925,D2,4,water,Mv,Bg4,2,2,
20180925,D2,4,water,Mv,Bg5,5,4,
20180925,D2,4,water,Mv,Bg6,2,2,
20180925,D2,4,water,Mv,Bg7,3,3,
20180925,D2,4,water,Mv,Bg8,4,4,
20180925,D2,4,water,Mv,Bg9,3,2,
20180925,D2,5,water,Mv,1,6,6,
20180925,D2,5,water,Mv,2,6,6,
20180925,D2,5,water,Mv,3,2,2,
20180925,D2,6,water,Mv,1,4,4,
20180925,D2,6,water,Mv,2,3,3,
20180925,D2,6,water,Mv,3,2,2,
20180925,D2,7,water,Mv,1,6,6,
20180925,D2,7,water,Mv,2,5,5,
20180925,D2,7,water,Mv,3,3,3,
20180925,D2,8,water,Mv,1,2,2,
20180925,D2,8,water,Mv,2,2,2,
20180925,D2,8,water,Mv,3,4,4,
20180925,D2,9,water,Mv,1,4,4,
20180925,D2,9,water,Mv,2,5,5,
20180925,D2,9,water,Mv,3,4,4,
20180925,D2,10,water,Mv,1,8,8,
20180925,D2,10,water,Mv,2,5,5,
20180925,D2,10,water,Mv,3,3,3,
20180925,D2,1,fungicide,Mv,1,3,1,
20180925,D2,1,fungicide,Mv,2,4,2,
20180925,D2,1,fungicide,Mv,3,6,5,
20180925,D2,2,fungicide,Mv,1,4,0,
20180925,D2,2,fungicide,Mv,2,5,1,
20180925,D2,2,fungicide,Mv,3,4,1,
20180925,D2,2,fungicide,Mv,Bg1,3,1,
20180925,D2,2,fungicide,Mv,Bg10,2,1,
20180925,D2,2,fungicide,Mv,Bg2,3,1,
20180925,D2,2,fungicide,Mv,Bg3,5,1,
20180925,D2,2,fungicide,Mv,Bg4,3,1,
20180925,D2,2,fungicide,Mv,Bg5,NA,NA,
20180925,D2,2,fungicide,Mv,Bg6,NA,NA,
20180925,D2,2,fungicide,Mv,Bg7,NA,NA,
20180925,D2,2,fungicide,Mv,Bg8,NA,NA,
20180925,D2,2,fungicide,Mv,Bg9,NA,NA,
20180925,D2,3,fungicide,Mv,1,5,4,
20180925,D2,3,fungicide,Mv,2,4,2,
20180925,D2,3,fungicide,Mv,3,3,3,
20180925,D2,3,fungicide,Mv,Bg1,2,1,
20180925,D2,3,fungicide,Mv,Bg10,3,1,
20180925,D2,3,fungicide,Mv,Bg2,4,2,
20180925,D2,3,fungicide,Mv,Bg3,6,2,
20180925,D2,3,fungicide,Mv,Bg4,5,0,
20180925,D2,3,fungicide,Mv,Bg5,5,3,
20180925,D2,3,fungicide,Mv,Bg6,5,4,
20180925,D2,3,fungicide,Mv,Bg7,5,1,
20180925,D2,3,fungicide,Mv,Bg8,6,5,
20180925,D2,3,fungicide,Mv,Bg9,5,5,
20180925,D2,4,fungicide,Mv,1,6,1,
20180925,D2,4,fungicide,Mv,2,4,2,
20180925,D2,4,fungicide,Mv,3,5,2,
20180925,D2,4,fungicide,Mv,Bg1,2,2,
20180925,D2,4,fungicide,Mv,Bg10,5,1,
20180925,D2,4,fungicide,Mv,Bg2,4,1,
20180925,D2,4,fungicide,Mv,Bg3,3,3,
20180925,D2,4,fungicide,Mv,Bg4,5,3,
20180925,D2,4,fungicide,Mv,Bg5,2,2,
20180925,D2,4,fungicide,Mv,Bg6,3,2,
20180925,D2,4,fungicide,Mv,Bg7,3,1,
20180925,D2,4,fungicide,Mv,Bg8,6,3,
20180925,D2,4,fungicide,Mv,Bg9,3,2,
20180925,D2,5,fungicide,Mv,1,5,5,
20180925,D2,5,fungicide,Mv,2,6,5,
