date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots_Ev,seeds_collected,field_notes
20180926,D4,6,fungicide,Ev,3,NA,NA,NA,0,
20180926,D4,6,fungicide,Ev,A,3,2,0,1,
20180926,D4,6,fungicide,Ev,R1,4,2,0,1,
20180926,D4,6,fungicide,Ev,R2,NA,NA,NA,0,
20180926,D4,6,fungicide,Ev,R3,4,0,0,1,
20180926,D4,6,fungicide,Ev,R4,3,1,0,0,
20180926,D4,7,fungicide,Ev,1,NA,NA,NA,0,
20180926,D4,7,fungicide,Ev,2,NA,NA,NA,0,
20180926,D4,7,fungicide,Ev,3,NA,NA,NA,0,
20180926,D4,7,fungicide,Ev,A,1,1,0,1,
20180926,D4,7,fungicide,Ev,R1,NA,NA,NA,NA,couldn't find plant
20180926,D4,7,fungicide,Ev,R2,2,1,0,1,
20180926,D4,7,fungicide,Ev,R3,3,2,1,0,
20180926,D4,7,fungicide,Ev,R4,2,0,0,0,
20180926,D4,7,fungicide,Ev,R5,NA,NA,NA,0,
20180926,D4,9,fungicide,Ev,1,NA,NA,NA,0,
20180926,D4,9,fungicide,Ev,2,NA,NA,NA,0,
20180926,D4,9,fungicide,Ev,3,NA,NA,NA,0,
20180926,D4,9,fungicide,Ev,A,2,2,0,0,
20180926,D4,9,fungicide,Ev,AR1,2,1,0,0,
20180926,D4,9,fungicide,Ev,AR2,2,0,0,1,
20180926,D4,9,fungicide,Ev,AR3,2,0,0,1,
20180926,D4,9,fungicide,Ev,AR4,2,0,0,0,
