site,plot,treatment,sp,ID,weight,seeds_collected,seeds_green,processing_notes
D4,1,fungicide,Ev,A,4.52,0,0,
D4,2,fungicide,Ev,1,1.51,0,0,
D4,2,fungicide,Ev,2,3.24,0,0,
D4,2,fungicide,Ev,3,2.2,0,0,
D4,2,fungicide,Ev,A,2.83,1,0.5,
D4,3,fungicide,Ev,1,1.4,1,0.5,
D4,3,fungicide,Ev,2,1.86,1,0.5,
D4,3,fungicide,Ev,3,2.33,1,0,
D4,3,fungicide,Ev,A,20.82,1,0.5,
D4,4,fungicide,Ev,1,0.25,0,0,
D4,4,fungicide,Ev,2,1.05,0,0,
D4,4,fungicide,Ev,3,1.19,0,0,
D4,4,fungicide,Ev,A,2.79,1,0.5,
D4,5,fungicide,Ev,1,3.98,0,0,
D4,5,fungicide,Ev,2,1.92,0,0,
D4,5,fungicide,Ev,3,3.79,0,0,
D4,5,fungicide,Ev,A,3.58,0,0,
D4,6,fungicide,Ev,1,1.47,0,0,
D4,6,fungicide,Ev,2,1.93,0,0,
D4,6,fungicide,Ev,3,3.7,0,0,
D4,6,fungicide,Ev,A,9.81,0,0,
D4,7,fungicide,Ev,1,4.79,1,0,
D4,7,fungicide,Ev,2,3.35,0,0,
D4,7,fungicide,Ev,3,4.33,1,0,
D4,7,fungicide,Ev,A,6.19,0,0,
D4,8,fungicide,Ev,1,1.97,0,0,
D4,8,fungicide,Ev,2,2.01,0,0,
D4,8,fungicide,Ev,3,3.33,0,0,
D4,8,fungicide,Ev,A,6.03,0,0,
D4,9,fungicide,Ev,1,1.39,0,0,
D4,9,fungicide,Ev,2,1.09,1,0.5,
D4,9,fungicide,Ev,3,2.03,0,0,
D4,9,fungicide,Ev,A,6.27,0,0,
D4,10,fungicide,Ev,1,1.67,0,0,
D4,10,fungicide,Ev,2,2.31,0,0,
D4,10,fungicide,Ev,3,2.81,0,0,
D4,10,fungicide,Ev,A,4.05,0,0,
D4,1,water,Ev,1,1.77,0,0,
D4,1,water,Ev,2,1.1,0,0,
D4,1,water,Ev,3,1.54,0,0,
D4,1,water,Ev,A,7.06,0,0,
D4,2,water,Ev,1,1.12,0,0,
D4,2,water,Ev,2,0.76,0,0,
D4,2,water,Ev,3,0.92,0,0,
D4,2,water,Ev,A,2.74,1,0,
D4,3,water,Ev,1,0.75,0,0,
D4,3,water,Ev,2,0.42,0,0,
D4,3,water,Ev,3,0.09,0,0,
D4,3,water,Ev,A,0.99,0,0,
D4,4,water,Ev,1,1.2,1,0,
D4,4,water,Ev,2,0.86,0,0,
D4,4,water,Ev,3,0.76,0,0,
D4,4,water,Ev,A,0.76,0,0,
D4,5,water,Ev,1,0.85,1,0,
D4,5,water,Ev,2,2.79,0,0,
D4,5,water,Ev,3,2.08,0,0,
D4,5,water,Ev,A,3.69,0,0,
D4,6,water,Ev,1,1.33,0,0,
D4,6,water,Ev,2,1.23,0,0,
D4,6,water,Ev,3,0.89,0,0,
D4,6,water,Ev,A,5.85,0,0,
D4,7,water,Ev,1,1.4,0,0,
D4,7,water,Ev,2,2.67,1,0,
D4,7,water,Ev,3,5.71,1,0,
D4,7,water,Ev,A,10.49,0,0,
D4,8,water,Ev,1,1.04,0,0,
D4,8,water,Ev,2,0.56,1,0,
D4,8,water,Ev,3,0.8,0,0,
D4,8,water,Ev,A,13.65,0,0,
D4,9,water,Ev,1,0.65,0,0,
D4,9,water,Ev,2,1.47,0,0,
D4,9,water,Ev,3,0.92,1,0,
D4,9,water,Ev,A,2.91,0,0,
D4,10,water,Ev,1,0.97,0,0,
D4,10,water,Ev,2,0.4,0,0,
D4,10,water,Ev,3,0.78,1,0.5,
D4,10,water,Ev,A,0.92,0,0,
