date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots,scan,path_ID,microbiome,seeds_collected,field_notes
20190830,D1,2,water,Ev,1,6,6,0,1,0,NA,0,crushed by branch
20190830,D1,2,water,Ev,2,7,6,0,1,0,NA,0,crushed by branch
20190830,D1,2,water,Ev,3,6,5,0,1,0,NA,0,crushed by branch
20190830,D1,2,water,Ev,A,3,2,0,0,0,NA,1,too few green leaves
20190830,D1,3,water,Ev,1,9,6,0,1,0,NA,0,
20190830,D1,3,water,Ev,2,7,3,0,1,0,NA,0,
20190830,D1,3,water,Ev,3,4,4,0,1,0,NA,0,
20190830,D1,3,water,Ev,A,3,0,0,0,0,NA,1,too few green leaves
20190830,D1,4,water,Ev,1,7,5,0,1,0,NA,0,
20190830,D1,4,water,Ev,2,6,2,0,1,0,NA,0,
20190830,D1,4,water,Ev,3,7,3,0,1,0,NA,0,
20190830,D1,4,water,Ev,A,4,3,0,1,0,NA,1,
20190830,D1,5,water,Ev,1,3,3,0,1,0,NA,0,
20190830,D1,5,water,Ev,2,3,0,0,1,0,NA,0,
20190830,D1,5,water,Ev,3,7,3,0,1,0,NA,0,
20190830,D1,5,water,Ev,A,4,3,0,1,0,NA,0,
20190831,D1,6,water,Ev,1,8,4,0,1,0,NA,0,
20190831,D1,6,water,Ev,2,6,3,0,1,0,NA,0,
20190831,D1,6,water,Ev,3,5,1,0,1,0,NA,0,
20190831,D1,6,water,Ev,A,11,8,0,1,0,NA,0,
20190830,D1,7,water,Ev,1,5,3,1,1,1,NA,1,
20190830,D1,7,water,Ev,2,7,5,1,1,1,NA,0,
20190830,D1,7,water,Ev,3,6,3,0,1,0,NA,0,
20190830,D1,7,water,Ev,A,1,1,0,0,0,NA,1,too few green leaves
20190831,D1,8,water,Ev,1,0,0,0,0,0,NA,0,appears dead
20190831,D1,8,water,Ev,2,7,6,1,1,1,NA,0,
20190831,D1,8,water,Ev,3,8,4,1,1,1,NA,0,
20190831,D1,8,water,Ev,A,3,2,0,1,0,NA,1,
20190830,D1,9,water,Ev,1,5,2,0,0,0,NA,0,no whole green leaves
20190830,D1,9,water,Ev,2,0,0,0,0,0,NA,0,appears dead
20190830,D1,9,water,Ev,3,9,3,0,1,0,NA,0,
20190830,D1,9,water,Ev,A,5,5,0,1,0,NA,0,
20190830,D1,10,water,Ev,1,5,5,0,1,0,NA,1,
20190830,D1,10,water,Ev,2,0,0,0,0,0,NA,0,appears dead
20190830,D1,10,water,Ev,3,6,2,0,1,0,NA,0,
20190830,D1,10,water,Ev,A,3,1,0,0,0,NA,1,too few green leaves
20190830,D2,1,fungicide,Ev,1,9,6,0,1,0,NA,0,
20190830,D2,1,fungicide,Ev,2,11,7,1,1,1,NA,0,
20190830,D2,1,fungicide,Ev,3,6,6,0,1,0,NA,0,
20190830,D2,1,fungicide,Ev,A,6,6,1,1,1,NA,1,
20190830,D2,2,fungicide,Ev,1,8,4,0,1,0,NA,0,
20190830,D2,2,fungicide,Ev,2,10,3,0,1,0,NA,0,
20190830,D2,2,fungicide,Ev,3,5,2,0,1,0,NA,0,
