site,plot,treatment,sp,ID,seeds,age,background,density_level,density,fungicide,seeds1,log_seeds,focal,foc,bg,plotf
D3,10,fungicide,Ev,1,17.61701025155899,seedling,Ev adult,high,9,1,18.61701025155899,2.924075692445406,Ev seedling,s,a,D310f
D3,10,fungicide,Ev,2,16.961832184352254,seedling,Ev adult,high,9,1,17.961832184352254,2.888249072389851,Ev seedling,s,a,D310f
D3,10,fungicide,Ev,3,5.459817226722827,seedling,Ev adult,high,9,1,6.459817226722827,1.865601024317292,Ev seedling,s,a,D310f
D3,10,fungicide,Ev,A,217.8831061277523,adult,Ev adult,high,9,1,218.8831061277523,5.3885378253411345,Ev adult,a,a,D310f
D3,10,water,Ev,1,40.83943285588675,seedling,Ev adult,high,9,0,41.83943285588675,3.733839264595168,Ev seedling,s,a,D310w
D3,10,water,Ev,2,12.01159789879022,seedling,Ev adult,high,9,0,13.01159789879022,2.5658411057965615,Ev seedling,s,a,D310w
D3,10,water,Ev,3,37.27235226776117,seedling,Ev adult,high,9,0,38.27235226776117,3.64472776260649,Ev seedling,s,a,D310w
D3,10,water,Ev,A,97.18474663566633,adult,Ev adult,high,9,0,98.18474663566633,4.586850873719833,Ev adult,a,a,D310w
D4,2,fungicide,Ev,1,21.475281091776452,seedling,Mv,low,7,1,22.475281091776452,3.1124160871438322,Ev seedling,s,m,D42f
D4,2,fungicide,Ev,3,6.624578235090364,seedling,Mv,low,7,1,7.624578235090364,2.031377007532859,Ev seedling,s,m,D42f
D4,2,fungicide,Ev,A,30.93896428476269,adult,Mv,low,7,1,31.93896428476269,3.4638267153594966,Ev adult,a,m,D42f
D4,2,water,Ev,1,2.9119025209188414,seedling,Mv,low,7,0,3.9119025209188414,1.364023833896582,Ev seedling,s,m,D42w
D4,2,water,Ev,A,13.540346722272613,adult,Mv,low,7,0,14.540346722272613,2.6769273179195885,Ev adult,a,m,D42w
D4,3,fungicide,Ev,1,11.93880033576725,seedling,Mv,medium,19,1,12.93880033576725,2.5602305750197036,Ev seedling,s,m,D43f
D4,3,fungicide,Ev,2,33.77806924265857,seedling,Mv,medium,19,1,34.77806924265857,3.548986993948135,Ev seedling,s,m,D43f
D4,3,fungicide,Ev,3,13.030763781111814,seedling,Mv,medium,19,1,14.030763781111814,2.641252331771018,Ev seedling,s,m,D43f
D4,3,fungicide,Ev,A,392.8156500719517,adult,Mv,medium,19,1,393.8156500719517,5.975882906583349,Ev adult,a,m,D43f
D4,3,water,Ev,1,15.869868739007686,seedling,Mv,medium,19,0,16.869868739007686,2.82552911579303,Ev seedling,s,m,D43w
D4,3,water,Ev,A,7.643744117411958,adult,Mv,medium,19,0,8.64374411741196,2.156835835870984,Ev adult,a,m,D43w
D4,4,fungicide,Ev,A,16.96183218435225,adult,Mv,high,67,1,17.96183218435225,2.888249072389851,Ev adult,a,m,D44f
D4,4,water,Ev,1,17.253022436444134,seedling,Mv,high,67,0,18.253022436444134,2.904330679272032,Ev seedling,s,m,D44w
D4,5,fungicide,Ev,1,1.7471415125513048,seedling,Ev seedling,low,7,1,2.7471415125513046,1.010560921094352,Ev seedling,s,s,D45f
D4,5,fungicide,Ev,2,6.260590419975508,seedling,Ev seedling,low,7,1,7.260590419975508,1.9824611505954979,Ev seedling,s,s,D45f
D4,5,fungicide,Ev,A,75.56387041784393,adult,Ev seedling,low,7,1,76.56387041784393,4.338125299913959,Ev adult,a,s,D45f
D4,5,water,Ev,1,2.693509831849928,seedling,Ev seedling,low,7,0,3.693509831849928,1.3065771799162187,Ev seedling,s,s,D45w
D4,5,water,Ev,2,9.609278319032176,seedling,Ev seedling,low,7,0,10.609278319032176,2.361728931371139,Ev seedling,s,s,D45w
D4,5,water,Ev,A,100.09664915658516,adult,Ev seedling,low,7,0,101.09664915658516,4.616076981625377,Ev adult,a,s,D45w
D4,6,fungicide,Ev,2,6.187792856952538,seedling,Ev seedling,medium,11,1,7.187792856952538,1.9723841506085367,Ev seedling,s,s,D46f
D4,6,fungicide,Ev,3,20.892900587592685,seedling,Ev seedling,medium,11,1,21.892900587592685,3.086162410184153,Ev seedling,s,s,D46f
D4,6,fungicide,Ev,A,109.0008197449772,adult,Ev seedling,medium,11,1,110.0008197449772,4.700487817991714,Ev adult,a,s,D46f
D4,6,water,Ev,A,83.57160235037075,adult,Ev seedling,medium,11,0,84.57160235037075,4.437598540645154,Ev adult,a,s,D46w
D4,7,fungicide,Ev,1,4.003865966263407,seedling,Ev seedling,high,19,1,5.003865966263407,1.6102108069268684,Ev seedling,s,s,D47f
D4,7,fungicide,Ev,2,13.176358907157756,seedling,Ev seedling,high,19,1,14.176358907157756,2.6515757114850755,Ev seedling,s,s,D47f
D4,7,fungicide,Ev,3,35.01562781404907,seedling,Ev seedling,high,19,1,36.01562781404907,3.5839529502051914,Ev seedling,s,s,D47f
D4,7,fungicide,Ev,A,71.56000445158053,adult,Ev seedling,high,19,1,72.56000445158053,4.284413867157217,Ev adult,a,s,D47f
D4,7,water,Ev,1,4.440651344401233,seedling,Ev seedling,high,19,0,5.440651344401233,1.6938987861271935,Ev seedling,s,s,D47w
D4,7,water,Ev,2,0.8735707562756524,seedling,Ev seedling,high,19,0,1.8735707562756523,0.6278461054323168,Ev seedling,s,s,D47w
D4,7,water,Ev,3,19.800937142248124,seedling,Ev seedling,high,19,0,20.800937142248124,3.034998040608105,Ev seedling,s,s,D47w
D4,7,water,Ev,A,74.61750209854532,adult,Ev seedling,high,19,0,75.61750209854532,4.325687765631376,Ev adult,a,s,D47w
D4,8,fungicide,Ev,1,12.229990587859136,seedling,Ev adult,low,3,1,13.229990587859136,2.5824862667025097,Ev seedling,s,a,D48f
D4,8,fungicide,Ev,2,6.842970924159277,seedling,Ev adult,low,3,1,7.842970924159277,2.059617706989089,Ev seedling,s,a,D48f
D4,8,fungicide,Ev,3,7.934934369503843,seedling,Ev adult,low,3,1,8.934934369503843,2.18996880325748,Ev seedling,s,a,D48f
D4,8,fungicide,Ev,A,50.15752092282705,adult,Ev adult,low,3,1,51.15752092282705,3.9349095182032214,Ev adult,a,a,D48f
D4,8,water,Ev,1,8.808505125779496,seedling,Ev adult,low,3,0,9.808505125779496,2.2832498792726277,Ev seedling,s,a,D48w
D4,8,water,Ev,2,1.0919634453445657,seedling,Ev adult,low,3,0,2.0919634453445655,0.7381030725053496,Ev seedling,s,a,D48w
