site,plot,treatment,sp,ID,collect_date,spikelet_weight.g,spikelet_notes,spikelet_bags_green,age,seeds,seed_weight
D4,1,water,Ev,A,20190729,0.649,NA,0,NA,47.2456184019082,NA
D4,1,water,Ev,A,20190828,0.388,NA,0,NA,28.24545445291276,NA
D4,1,water,Ev,A,20190924,1.6360000000000001,2/2; 1/2,0,NA,119.09681310558062,NA
D4,2,fungicide,Ev,1,20190924,0.295,NA,0,NA,21.475281091776452,NA
D4,2,fungicide,Ev,3,20190924,0.091,NA,0,NA,6.624578235090364,NA
D4,2,fungicide,Ev,A,20190924,0.186,GREENISH,1,NA,13.540346722272613,NA
D4,2,fungicide,Ev,A,20191022,0.239,green; brown,1,NA,17.398617562490077,NA
D4,2,water,Ev,1,20190924,0.04,NA,0,NA,2.9119025209188414,NA
D4,2,water,Ev,A,20190924,0.094,NA,0,NA,6.842970924159277,NA
D4,2,water,Ev,A,20191022,0.092,brown,0,NA,6.697375798113335,NA
D4,3,fungicide,Ev,1,20190924,0.105,NA,0,NA,7.643744117411958,NA
D4,3,fungicide,Ev,1,20191022,0.059,green; brown,1,NA,4.295056218355291,NA
D4,3,fungicide,Ev,2,20190924,0.168,NA,0,NA,12.229990587859135,NA
D4,3,fungicide,Ev,2,20191022,0.29600000000000004,green; brown,1,NA,21.54807865479943,NA
D4,3,fungicide,Ev,3,20191022,0.179,brown,0,NA,13.030763781111814,NA
D4,3,fungicide,Ev,A,20190703,0.338,NA,0,NA,24.60557630176421,NA
D4,3,fungicide,Ev,A,20190828,2.055,MOLDY,0,NA,149.59899201220549,NA
D4,3,fungicide,Ev,A,20190924,2.7430000000000003,1/2 GREENISH; 2/2,1,NA,199.68371537200957,NA
D4,3,fungicide,Ev,A,20191022,0.26,green; brown,1,NA,18.92736638597247,NA
D4,3,water,Ev,1,20190924,0.218,NA,0,NA,15.869868739007686,NA
D4,3,water,Ev,A,20190924,0.105,NA,0,NA,7.643744117411958,NA
D4,4,fungicide,Ev,A,20191022,0.23299999999999998,brown; green,1,NA,16.96183218435225,NA
D4,4,water,Ev,1,20190924,0.12,NA,0,NA,8.735707562756524,NA
D4,4,water,Ev,1,20191022,0.117,brown,0,NA,8.517314873687612,NA
D4,5,fungicide,Ev,1,20190924,0.024,NA,0,NA,1.7471415125513048,NA
D4,5,fungicide,Ev,2,20190924,0.086,NA,0,NA,6.260590419975508,NA
D4,5,fungicide,Ev,A,20190729,0.362,NA,0,NA,26.352717814315515,NA
D4,5,fungicide,Ev,A,20190924,0.676,NA,0,NA,49.21115260352842,NA
D4,5,water,Ev,1,20191022,0.037,brown,0,NA,2.693509831849928,NA
D4,5,water,Ev,2,20190924,0.132,GREENISH,1,NA,9.609278319032176,NA
D4,5,water,Ev,A,20190924,1.375,GREENISH,1,NA,100.09664915658517,NA
D4,6,fungicide,Ev,2,20190924,0.085,NA,0,NA,6.187792856952538,NA
D4,6,fungicide,Ev,3,20190924,0.287,NA,0,NA,20.892900587592685,NA
D4,6,fungicide,Ev,A,20190703,0.354,NA,0,NA,25.770337310131744,NA
D4,6,fungicide,Ev,A,20190729,0.125,NA,0,adult,14,0.024
D4,6,fungicide,Ev,A,20190828,0.143,NA,0,NA,10.410051512284857,NA
D4,6,fungicide,Ev,A,20190924,0.808,GREENISH,1,NA,58.8204309225606,NA
D4,6,water,Ev,A,20190828,0.55,MOLDY,0,NA,40.038659662634075,NA
D4,6,water,Ev,A,20190924,0.598,NA,0,NA,43.53294268773668,NA
D4,7,fungicide,Ev,1,20191022,0.055,brown,0,NA,4.003865966263407,NA
D4,7,fungicide,Ev,2,20190924,0.181,NA,0,NA,13.176358907157757,NA
D4,7,fungicide,Ev,3,20190924,0.388,NA,0,NA,28.24545445291276,NA
D4,7,fungicide,Ev,3,20191022,0.093,brown,0,NA,6.770173361136306,NA
D4,7,fungicide,Ev,A,20190828,0.561,MOLDY,0,NA,40.839432855886756,NA
D4,7,fungicide,Ev,A,20190924,0.422,NA,0,NA,30.720571595693777,NA
D4,7,water,Ev,1,20190924,0.061,NA,0,NA,4.440651344401233,NA
D4,7,water,Ev,2,20191022,0.012,brown,0,NA,0.8735707562756524,NA
D4,7,water,Ev,3,20191022,0.272,brown,0,NA,19.800937142248124,NA
D4,7,water,Ev,A,20190703,0.154,NA,0,NA,11.210824705537538,NA
D4,7,water,Ev,A,20190729,0.186,NA,0,NA,13.540346722272613,NA
D4,7,water,Ev,A,20190924,0.685,NA,0,NA,49.86633067073516,NA
D4,8,fungicide,Ev,1,20190924,0.168,NA,0,NA,12.229990587859135,NA
D4,8,fungicide,Ev,2,20190924,0.094,GREENISH,1,NA,6.842970924159277,NA
D4,8,fungicide,Ev,3,20190924,0.109,NA,0,NA,7.934934369503843,NA
D4,8,fungicide,Ev,A,20190828,0.518,NA,0,NA,37.709137645899,NA
D4,8,fungicide,Ev,A,20190924,0.171,NA,0,NA,12.448383276928048,NA
D4,8,water,Ev,1,20190924,0.121,NA,0,NA,8.808505125779496,NA
D4,8,water,Ev,2,20191022,0.015,brown,0,NA,1.0919634453445655,NA
D4,8,water,Ev,A,20190828,0.68,NA,0,NA,49.502342855620306,NA
D4,8,water,Ev,A,20190924,3.0620000000000003,1/2 GREENISH; 2/2,1,adult,193,0.683
D4,9,fungicide,Ev,2,20190924,0.087,NA,0,NA,6.333387982998479,NA
D4,9,fungicide,Ev,2,20191022,0.073,"brown; (reweighed after realizing scale was unbalanced, disregard righ column on scanned original); green; (reweighed after realizing scale was unbalanced, disregard righ column on scanned original)",1,NA,5.3142221006768855,NA
D4,9,fungicide,Ev,A,20190729,0.305,NA,0,NA,22.203256722006163,NA
D4,9,fungicide,Ev,A,20190828,1.503,NA,0,NA,109.41473722352545,NA
D4,9,fungicide,Ev,A,20190924,0.704,NA,0,NA,51.24948436817161,NA
D4,9,water,Ev,1,20190828,0.183,NA,0,NA,13.3219540332037,NA
D4,9,water,Ev,2,20190828,0.109,NA,0,NA,7.934934369503843,NA
D4,9,water,Ev,2,20190924,0.233,NA,0,NA,16.96183218435225,NA
D4,9,water,Ev,3,20191022,0.01,brown,0,NA,0.7279756302297103,NA
D4,9,water,Ev,A,20190828,0.141,NA,0,NA,10.264456386238916,NA
D4,10,fungicide,Ev,2,20190924,0.149,NA,0,NA,10.846836890422683,NA
D4,10,fungicide,Ev,3,20190729,0.083,NA,0,seedling,2,0.003
D4,10,fungicide,Ev,3,20190828,0.24,NA,0,NA,17.471415125513047,NA
D4,10,fungicide,Ev,3,20190924,0.099,NA,0,NA,7.206958739274133,NA
D4,10,fungicide,Ev,A,20190924,0.488,NA,0,NA,35.52521075520986,NA
D4,10,water,Ev,1,20190828,0.113,NA,0,NA,8.226124621595726,NA
D4,10,water,Ev,2,20190924,0.094,NA,0,NA,6.842970924159277,NA
D4,10,water,Ev,3,20190729,0.03,NA,0,NA,2.183926890689131,NA
D4,10,water,Ev,3,20191022,0.063,green; brown,1,seedling,1,0.003
D4,10,water,Ev,A,20190828,0.296,NA,0,NA,21.548078654799426,NA
