site,plot,treatment,sp,age,ID,seeds,background,density_level,density,seeds_per_bag,seeds_per_stem,seeds_bio,seeds_soil,tillers_jul,seeds_per_m2,fungicide,seeds1,log_seeds,focal,foc,bg,plotf
D2,10,fungicide,Mv,seedling,NA,504.6222222222222,Ev adult,high,9,62.6,27.03333333333333,395.3846154,587.9999999999999,18.666666666666668,8027.629513469386,1,505.6222222222222,6.225789794046807,Mv,m,a,D210f
D2,10,water,Mv,seedling,NA,783.5555555555555,Ev adult,high,9,62.45454545454545,26.71212121212121,268,610.6153846379999,29.333333333333332,7172.370486840816,0,784.5555555555555,6.665117386180127,Mv,m,a,D210w
D3,2,fungicide,Mv,seedling,NA,647,Mv,low,7,54.8,32.35,680,587.9999999999999,20,10351.020408163266,1,648,6.473890696352274,Mv,m,m,D32f
D3,2,water,Mv,seedling,NA,453.8888888888889,Mv,low,7,77.8,35.833333333333336,393.75,754.5999999999999,12.666666666666666,9374.285714285714,0,454.8888888888889,6.120053188885016,Mv,m,m,D32w
D3,3,fungicide,Mv,seedling,NA,755.2,Mv,medium,19,64.6,31.46666666666667,732.9411765,287.466666634,24,8329.85994395102,1,756.2,6.628305891456833,Mv,m,m,D33f
D3,3,water,Mv,seedling,NA,1215.2,Mv,medium,19,54,32.55,200,290.08,37.333333333333336,4000.6530612244896,0,1216.2,7.103486522686009,Mv,m,m,D33w
D3,4,fungicide,Mv,seedling,NA,1695.2777777777778,Mv,high,67,56.3,29.916666666666668,1293,1103.4074074799998,56.666666666666664,19562.509448816327,1,1696.2777777777778,7.436191587007788,Mv,m,m,D34f
D3,4,water,Mv,seedling,NA,345.1888888888889,Mv,high,67,34.4,22.033333333333335,202.6666667,723.6923077299998,15.666666666666666,7562.11407697959,0,346.1888888888889,5.846984547740902,Mv,m,m,D34w
D3,5,fungicide,Mv,seedling,NA,1552.8333333333335,Ev seedling,low,7,56,30.25,357,1089.76,51.333333333333336,11810.285714285714,1,1553.8333333333335,7.348480275068638,Mv,m,s,D35f
D3,5,water,Mv,seedling,NA,452.19999999999993,Ev seedling,low,7,52.8,32.3,641.4285714,685.9999999999999,14,10836.151603265305,0,453.19999999999993,6.116333529153851,Mv,m,s,D35w
D3,6,fungicide,Mv,seedling,NA,208.36666666666667,Ev seedling,medium,11,55.6,32.9,895.4545455,914.666666634,6.333333333333334,14776.499690889796,1,209.36666666666667,5.344087100792225,Mv,m,s,D36f
D3,6,water,Mv,seedling,NA,436.5777777777777,Ev seedling,medium,11,57.4,29.766666666666666,150,914.666666634,14.666666666666666,8691.156462318368,0,437.5777777777777,6.08125446777485,Mv,m,s,D36w
D3,7,fungicide,Mv,seedling,NA,830.0000000000001,Ev seedling,high,19,66.4,33.2,268.5714286,1175.9999999999998,25,11792.41982530612,1,831.0000000000001,6.7226297948554485,Mv,m,s,D37f
D3,7,water,Mv,seedling,NA,718.2,Ev seedling,high,19,55.5,34.2,405.4545455,1039.6521736999998,21,11796.789544489795,0,719.2,6.57813948315741,Mv,m,s,D37w
D3,8,fungicide,Mv,seedling,NA,528.5,Ev adult,low,3,54,25.166666666666664,433.0434783,1215.1999999999998,21,13455.048802448979,1,529.5,6.271933165041461,Mv,m,a,D38f
D3,8,water,Mv,seedling,NA,1548.5277777777776,Ev adult,low,3,79.1,43.416666666666664,327.2727273,399.8399999999999,35.666666666666664,5935.614100408163,0,1549.5277777777776,7.345705503996951,Mv,m,a,D38w
D3,9,fungicide,Mv,seedling,NA,1753.75,Ev adult,medium,5,69.4,45.75,560.952381,1175.9999999999998,38.333333333333336,14179.203110204078,1,1754.75,7.470081675610531,Mv,m,a,D39f
D3,9,water,Mv,seedling,NA,230.13888888888886,Ev adult,medium,5,57.2,27.616666666666667,777.7777778,1442.5599999999995,8.333333333333332,18125.20634938775,0,231.13888888888886,5.44301878044432,Mv,m,a,D39w
D3,10,fungicide,Mv,seedling,NA,838.4499999999999,Ev adult,high,9,40.3,20.45,294.1666667,258.71999999999997,41,4513.360544489796,1,839.4499999999999,6.732746915482407,Mv,m,a,D310f
D3,10,water,Mv,seedling,NA,419.96666666666664,Ev adult,high,9,46.4,29.3,1123.809524,2620.2105267799993,14.333333333333332,30563.428985959177,0,420.96666666666664,6.042553653984014,Mv,m,a,D310w
D4,2,fungicide,Mv,seedling,NA,360.5666666666666,Mv,low,7,61.6,37.3,451.1111111,824.8333333659999,9.666666666666666,10415.873016048978,1,361.5666666666666,5.890446441378062,Mv,m,m,D42f
D4,2,water,Mv,seedling,NA,523.7555555555556,Mv,low,7,72.2,42.46666666666667,227.1428571,489.99999999999994,12.333333333333334,5854.227404897959,0,524.7555555555556,6.262932545696735,Mv,m,m,D42w
